UBPR_Code,Description
UBPRE420,"Total Real Estate, % Gross LN&LS"
UBPRE414,"Construction & Development, % Avg Gross LN&LS"
UBPRE393,"1-4 Family Construction, % Avg Gross LN&LS"
UBPRE417,"Farmland, % Gross LN&LS"
UBPRE415,"1-4 Family Residential, % Gross LN&LS"
UBPRE416,"Home Equity Loans, % Gross LN&LS"
UBPRE418,"Multifamily, % Gross LN&LS"
UBPRE396,"Owner Occupied Non-Farm Non-Residential, % Gross LN&LS"
UBPRE389,"Other Non-Farm Non-Residential, % Gross LN&LS"
UBPRE421,"Financial Institution Loans, % Gross LN&LS"
UBPRE422,"Agricultural Loans, % Gross LN&LS"
UBPRE423,"Commercial & Industrial Loans, % Gross LN&LS"
UBPRE425,"Credit Card Loans, % Gross LN&LS"
UBPRE426,"Municipal Loans, % Gross LN&LS"
UBPRE429,"All Other Loans, % Gross LN&LS"
UBPRE431,"Loans to Foreign Governments, % Gross LN&LS"
UBPRE430,"Lease Financing Receivables, % Gross LN&LS"
UBPRE432,"Loans to Finance Comml Real Est, % Gross LN&LS"
UBPRE428,"Foreign Office Loans and Leases, % Gross LN&LS"
UBPRE434,"Officer & Shareholder Loans, % Avg Tot LN&LS"
UBPRE435,"Officer & Shareholder Loans, % of Assets"
UBPRE436,"Construction & Land Development OREO, % Assets"
UBPRE437,"Farmland OREO, % Assets"
UBPRE438,"1-4 Family OREO, % Assets"
UBPRE439,"Multifamily OREO, % Assets"
UBPRE440,"Non-Farm Non-Residential OREO, % Assets"
UBPRE441,Foreign Office OREO
UBPRE442,"Subtotal OREO, % Assets"
UBPRE443,"Direct and Indirect Inv OREO, % Assets"
UBPRE444,"Total OREO, % Assets"
UBPRE445,Mortgage Servicing w/ Recourse % Assets
UBPRE446,Mortgage Servicing w/o Recourse % Assets
UBPRE447,Other Financial Assets % Assets
UBPRE448,Total Servicing % Assets
UBPRE884,"Total Real Estate Loans, % Tier 1 Capital plus Allowance"
