IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debt1,"<LM w/ ARIMA(1,0,0) errors>",0.03592375675998697,8.7821028348868,-9.5642056697736,-8.082724188292119,-3.7012620585746934,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debt2,"<LM w/ ARIMA(1,0,0) errors>",0.036092466858182036,8.715079338160741,-9.430158676321483,-7.948677194840002,-3.5672150651225767,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debt3,"<LM w/ ARIMA(1,0,0) errors>",0.029423614159708424,12.42751216994936,-14.85502433989872,-12.547332032206413,-7.526344825900086,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debt4,"<LM w/ ARIMA(1,0,0) errors>",0.028201608493726837,13.625280556353395,-15.25056111270679,-11.890561112706791,-6.4561456959084325,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debt5,"<LM w/ ARIMA(1,0,0) errors>",0.029003801196045072,13.785229747851567,-13.570459495703133,-8.903792829036465,-3.310308176105048,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debt1,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.004756294862556192,64.9835051726874,-119.9670103453748,-118.66266251928785,-110.21079175246767,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debt2,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.004850068930580527,64.38272103827451,-118.76544207654902,-117.46109425046207,-109.00922348364189,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debt3,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.003788525820481103,71.01120061743912,-130.02240123487823,-128.15573456821156,-118.31493892338966,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debt4,"<LM w/ ARIMA(2,0,0)(2,0,0)[4] errors>",0.0032930216988967575,74.27161308107856,-132.5432261621571,-129.34322616215712,-116.63135378964292,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debt5,"<LM w/ ARIMA(2,0,0)(2,0,0)[4] errors>",0.0033180624282251573,74.56554063856697,-131.13108127713394,-127.04017218622485,-113.23022485805546,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debt1,"<LM w/ ARIMA(1,1,0) errors>",0.08985174941139955,-9.520187242604223,25.040374485208446,25.585829030662993,30.65397751793212,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debt2,"<LM w/ ARIMA(2,1,0) errors>",0.081496090990853,-7.031000001388016,22.06200000277603,22.992232560915568,29.546804046407594,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debt3,"<LM w/ ARIMA(1,1,0) errors>",0.08455565161026618,-7.599818381607989,23.199636763215977,24.129869321355514,30.68444080684754,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debt4,"<LM w/ ARIMA(1,1,0) errors>",0.0847037651844515,-7.129043481186251,24.258086962372502,25.68665839094393,33.614092016911954,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debt5,"<LM w/ ARIMA(1,1,0) errors>",0.08648195868040301,-7.065348301681446,26.130696603362892,28.17947709116777,37.35790266881024,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,debt1,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.008087378445618522,25.50710268787073,-43.01420537574146,-41.01420537574146,-38.13870207626866,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,debt2,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.008410068620655957,24.991193247299012,-41.982386494598025,-39.982386494598025,-37.10688319512522,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,debt3,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.00932200155952413,24.028096926580975,-40.05619385316195,-38.05619385316195,-35.180690553689146,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,debt4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.009298664842675062,24.6387235070295,-39.277447014059,-36.1195522772169,-33.183067889718,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,debt5,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.00961572444198754,24.825213881269566,-37.65042776253913,-32.98376109587247,-30.33717281332993,,
233031,REGIONS BANK (233031),LargeBank,debt1,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.013270042018887129,28.86871473988578,-51.73742947977156,-51.03154712683039,-46.8246710005924,,
233031,REGIONS BANK (233031),LargeBank,debt2,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.009852241698367637,37.560631751740644,-65.12126350348129,-63.45459683681462,-56.432915412064446,,
233031,REGIONS BANK (233031),LargeBank,debt3,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.009921674475659989,37.71577073456238,-63.43154146912477,-61.03154146912477,-53.005523759424555,,
233031,REGIONS BANK (233031),LargeBank,debt4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.011457186034301767,32.650140391034434,-55.30028078206887,-53.42528078206887,-47.11234998343694,,
233031,REGIONS BANK (233031),LargeBank,debt5,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.011796779437093265,32.66329747851717,-53.326594957034345,-50.616917537679505,-43.50107799867603,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,debt1,"<LM w/ ARIMA(0,1,1) errors>",0.036507808794045755,10.829308726734851,-15.658617453469702,-15.027038506101281,-10.445608598619597,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,debt2,"<LM w/ ARIMA(0,1,1) errors>",0.03601167058158791,11.116329433701608,-16.232658867403217,-15.601079920034795,-11.019650012553111,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,debt3,"<LM w/ ARIMA(0,1,1) errors>",0.03659218643837383,11.319736010686725,-14.63947202137345,-13.55839094029237,-7.6887935482399765,,
