IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debth1,"<LM w/ ARIMA(1,0,0) errors>",0.03589672018430023,8.792871096655588,-9.585742193311177,-8.104260711829696,-3.7227985821122704,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debth2,"<LM w/ ARIMA(1,0,0) errors>",0.03637452964254656,8.59343787063635,-9.1868757412727,-7.70539425979122,-3.3239321300737945,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debth3,"<LM w/ ARIMA(1,0,0) errors>",0.029698906313403942,12.281536460894628,-14.563072921789256,-12.25538061409695,-7.234393407790623,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debth4,"<LM w/ ARIMA(1,0,0) errors>",0.027953334539389887,13.760173878119303,-15.520347756238607,-12.160347756238608,-6.725932339440249,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,debth5,"<LM w/ ARIMA(1,0,0) errors>",0.02898372587158066,13.788537379338244,-13.577074758676488,-8.91040809200982,-3.316923439078403,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debth1,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.004812044855167945,64.70008297876926,-119.40016595753852,-118.09581813145157,-109.64394736463139,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debth2,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.004842250130562259,64.45524132970674,-118.91048265941347,-117.60613483332652,-109.15426406650634,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debth3,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.0038730683864240767,70.60085998301359,-129.20171996602718,-127.33505329936052,-117.49425765453861,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debth4,"<LM w/ ARIMA(1,2,0)(2,0,0)[4] errors>",0.0034211498683987956,73.70349483245188,-133.40698966490376,-130.86153511944923,-119.74828363483377,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,debth5,"<LM w/ ARIMA(0,2,0)(2,0,0)[4] errors>",0.0035321827763828036,72.93898763162535,-131.8779752632507,-129.33252071779617,-118.21926923318071,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,debth1,"<LM w/ ARIMA(1,1,0) errors>",0.08987495612703285,-9.526318838432779,25.052637676865558,25.598092222320105,30.666240709589232,,
