IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,comb1,"<LM w/ ARIMA(1,0,0) errors>",0.02605911910001785,14.877127860618415,-17.75425572123683,-14.394255721236831,-8.959840304438472,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,comb2,"<LM w/ ARIMA(1,0,0) errors>",0.02701296883211887,14.906010549997205,-15.81202109999441,-11.145354433327743,-5.551869780396325,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,comb3,"<LM w/ ARIMA(1,0,0) errors>",0.026069830314329315,16.091203767532157,-16.182407535064314,-9.921537969846923,-4.456520312666502,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,comb4,"<LM w/ ARIMA(1,0,0) errors>",0.024801793773927914,16.215793307401093,-18.431586614802185,-13.764919948135518,-8.1714352952041,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,comb5,"<LM w/ ARIMA(1,0,0) errors>",0.029651170795980116,12.863375812010645,-13.72675162402129,-10.36675162402129,-4.9323362072229315,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,comb1,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.0029607618339253135,75.07621921675108,-136.15243843350217,-133.420731116429,-122.90969634672778,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,comb2,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.0030256219181252677,75.07928501671994,-134.15857003343987,-130.55857003343988,-119.02400764855486,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,comb3,"<LM w/ ARIMA(1,2,0)(2,0,0)[4] errors>",0.0034268036416950295,75.05615770952865,-132.1123154190573,-127.826601133343,-114.55112195182446,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,comb4,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.0030313318065577862,75.07717050084166,-134.15434100168332,-130.55434100168333,-119.0197786167983,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,comb5,"<LM w/ ARIMA(0,2,1)(2,0,0)[4] errors>",0.003864676012329794,71.04252342864503,-128.08504685729005,-125.5395923118355,-114.42634082722006,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,comb1,"<LM w/ ARIMA(1,1,0) errors>",0.08143235747506922,-6.238049456366944,22.47609891273389,23.904670341305316,31.832103967273344,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,comb2,"<LM w/ ARIMA(1,1,0) errors>",0.08329452839108975,-6.227585476724435,24.45517095344887,26.503951441253747,35.68237701889622,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,comb3,"<LM w/ ARIMA(1,1,0) errors>",0.08367586361097581,-5.779643075197619,25.559286150395238,28.35928615039524,38.657693226750474,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,comb4,"<LM w/ ARIMA(1,1,0) errors>",0.08006690409231378,-5.235183915648086,22.470367831296173,24.51914831910105,33.69757389674352,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,comb5,"<LM w/ ARIMA(1,1,0) errors>",0.08305892919511335,-6.598651379603552,23.197302759207105,24.625874187778532,32.55330781374656,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,comb1,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.00913351459329077,25.15535859551834,-38.31071719103668,-33.644050524370016,-30.997462241827478,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,comb2,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.009322957761557176,25.462100380667305,-36.92420076133461,-30.335965467216965,-28.39206998725721,,
