IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0) errors>",0.037314656727502817,8.730259329105436,-7.460518658210873,-5.152826350518565,-0.13183914421223975,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0) errors>",0.03748599466819928,8.655535103967999,-7.311070207935998,-5.003377900243691,0.017609306062635,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.03886258470888871,8.660296941286184,-5.320593882572368,-1.9605938825723679,3.4738215342259906,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0) errors>",0.03748800262162422,8.653651538582636,-7.3073030771652725,-4.999610769472965,0.021376436833360657,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(2,0,3) errors>",0.0025096260720575735,76.5905131023757,-135.1810262047514,-130.44418409948824,-118.34021710658037,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(2,0,2)(1,0,0)[4] errors>",0.0025738305881975103,76.35021887251176,-134.70043774502352,-129.96359563976037,-117.8596286468525,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(2,0,1)(1,0,0)[4] errors>",0.0027940984165723184,74.82726132327033,-131.65452264654067,-126.91768054127752,-114.81371354836965,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(5,0,0)(0,1,0)[4] errors>",0.0037393560874072382,61.86211851735011,-107.72423703470022,-103.60995132041451,-93.45071996335413,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,portfolio1,"<LM w/ ARIMA(0,1,1) errors>",0.04689795863357668,7.081964997332236,-4.163929994664471,-2.70051536051813,5.086808013885822,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,portfolio2,"<LM w/ ARIMA(0,1,1) errors>",0.048966884090394625,6.127833069982586,-2.2556661399651716,-0.7922515058188302,6.995071868585121,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,portfolio3,"<LM w/ ARIMA(0,1,0) errors>",0.051910599751018464,4.378433841722327,-0.7568676834446535,0.19551326893629883,6.64372272339558,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,portfolio4,"<LM w/ ARIMA(0,1,0) errors>",0.05511266881553713,2.4436924123607184,1.1126151752785631,1.6707547101622842,6.663057980408738,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.009242584500523317,24.153220320728554,-40.30644064145711,-38.30644064145711,-35.430937341984304,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.009383208874677605,23.97223242552089,-39.94446485104178,-37.94446485104178,-35.068961551568975,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.009360971163042478,24.56819924344879,-39.13639848689758,-35.97850375005548,-33.04201936255658,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.009368304507590615,23.988299698925996,-39.97659939785199,-37.97659939785199,-35.10109609837919,,
233031,REGIONS BANK (233031),LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0) errors>",0.007340392908829816,45.29843010243738,-80.59686020487476,-78.93019353820809,-71.90851211345792,,
233031,REGIONS BANK (233031),LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0) errors>",0.007322254271018449,45.3511229056482,-80.7022458112964,-79.03557914462972,-72.01389771987955,,
233031,REGIONS BANK (233031),LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.006820222450720026,47.38125198854634,-82.76250397709268,-80.36250397709267,-72.33648626739247,,
233031,REGIONS BANK (233031),LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.012392136566378196,30.729413229898235,-53.45882645979647,-52.24670524767526,-46.90848182089093,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,portfolio1,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.03233128246363961,13.990098084946908,-17.980196169893816,-16.313529503227148,-9.291848078476974,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,portfolio2,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.03283735641740709,13.67382853919635,-17.3476570783927,-15.680990411726034,-8.659308986975859,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.033278712465172486,14.008770311719317,-16.017540623438634,-13.617540623438634,-5.591522913738423,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,portfolio4,"<LM w/ ARIMA(0,1,1) errors>",0.03540031805318421,12.017161023078103,-16.034322046156205,-14.953240965075125,-9.083643573022732,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.05054440818101071,5.641491101021451,0.717017797957098,2.765798285761976,11.944223863404446,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.04973662979678954,6.0011678643081225,-0.002335728616245092,2.046444759188633,11.224870336831103,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.050629918047253995,6.123762722148378,1.7524745557032446,4.552474555703244,14.850881632058483,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.04945313889813422,6.117380132120822,-0.2347602642416433,1.8140202235632348,10.992445801205704,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio1,"<LM w/ ARIMA(0,1,2) errors>",0.00931115110228539,45.06886680343365,-80.1377336068673,-78.67431897272095,-70.88699559831701,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio2,"<LM w/ ARIMA(0,1,2) errors>",0.008959893903713632,45.988595853933006,-81.97719170786601,-80.51377707371967,-72.72645369931573,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1) errors>",0.008732977097691557,46.694017375082524,-83.38803475016505,-81.9246201160187,-74.13729674161476,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,1,1)[4] errors>",0.009579909510922757,39.971007387896336,-69.94201477579267,-68.36306740737162,-61.021066606201366,,
476810,"CITIBANK, N.A. (476810)",LargeBank,portfolio1,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.0040647244208271835,24.22017106562252,-40.44034213124504,-37.36341905432196,-36.878855099660385,,
