IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,unrate1,"<LM w/ ARIMA(1,0,0) errors>",0.03230123803069551,10.434294237584858,-12.868588475169716,-11.387106993688235,-7.00564486397081,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,unrate2,"<LM w/ ARIMA(1,0,0) errors>",0.03665722869044016,8.46976421626119,-8.93952843252238,-7.458046951040899,-3.0765848213234737,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,unrate3,"<LM w/ ARIMA(1,0,0) errors>",0.02539801721495043,14.703713257456371,-19.407426514912743,-17.099734207220436,-12.07874700091411,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,unrate4,"<LM w/ ARIMA(1,0,0) errors>",0.025355593226821998,15.30833454789051,-18.61666909578102,-15.256669095781021,-9.822253678982662,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,unrate5,"<LM w/ ARIMA(1,0,0) errors>",0.026310796108421027,15.32126527192144,-16.64253054384288,-11.975863877176213,-6.382379224244795,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,unrate1,"<LM w/ ARIMA(1,1,1)(0,1,1)[4] errors>",0.004533580258928739,63.59138000125286,-117.18276000250572,-115.78741116529642,-107.72365851195258,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,unrate2,"<LM w/ ARIMA(2,1,2)(0,1,1)[4] errors>",0.00387555323586734,68.19183881494094,-122.38367762988187,-119.6519703128087,-109.14093554310749,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,unrate3,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.0030038107432408907,73.5335824639077,-135.0671649278154,-133.0671649278154,-123.71624313915166,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,unrate4,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.003076480356143274,73.77465549485986,-133.54931098971971,-130.81760367264656,-120.30656890294533,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,unrate5,"<LM w/ ARIMA(2,1,0)(0,1,1)[4] errors>",0.00316365589098507,73.80762919409354,-131.61525838818707,-128.01525838818708,-116.48069600330206,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,unrate1,"<LM w/ ARIMA(1,1,0) errors>",0.08983895489373539,-9.516950274258797,25.033900548517593,25.57935509397214,30.647503581241267,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,unrate2,"<LM w/ ARIMA(1,1,0) errors>",0.08433242850212622,-8.05475987594803,22.10951975189606,22.654974297350606,27.723122784619733,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,unrate3,"<LM w/ ARIMA(1,1,0) errors>",0.08322796742163863,-7.250572530610036,22.501145061220072,23.43137761935961,29.985949104851635,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,unrate4,"<LM w/ ARIMA(1,1,0) errors>",0.08274141049572205,-6.57628120569867,23.15256241139734,24.581133839968768,32.50856746593679,,
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,unrate5,"<LM w/ ARIMA(1,1,0) errors>",0.08268436771736663,-6.019903208473828,24.039806416947656,26.088586904752532,35.267012482395,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,unrate1,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.008428316988100018,24.97584894841609,-41.95169789683218,-39.95169789683218,-37.076194597359375,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,unrate2,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.008454102982930421,24.963641643865326,-41.92728328773065,-39.92728328773065,-37.05177998825785,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,unrate3,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.0087991554486832,25.03874165699069,-40.07748331398138,-36.91958857713928,-33.98310418964038,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,unrate4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.010028373674266122,23.719788159295316,-37.43957631859063,-34.28168158174853,-31.34519719424963,,
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,unrate5,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.008629343078942484,26.42985768968555,-38.8597153793711,-32.27148008525346,-30.3275846052937,,
233031,REGIONS BANK (233031),LargeBank,unrate1,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.013303185866733073,28.82157277032612,-51.64314554065224,-50.93726318771107,-46.73038706147308,,
233031,REGIONS BANK (233031),LargeBank,unrate2,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.01338596196938178,28.710075638547245,-51.42015127709449,-50.714268924153316,-46.50739279791533,,
233031,REGIONS BANK (233031),LargeBank,unrate3,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.013640473542103116,28.87839434801395,-49.7567886960279,-48.544667483906686,-43.206444057122354,,
233031,REGIONS BANK (233031),LargeBank,unrate4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.013943859731953428,29.009147868496804,-48.01829573699361,-46.14329573699361,-39.83036493836168,,
233031,REGIONS BANK (233031),LargeBank,unrate5,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.014006116097987522,29.49558294299684,-46.99116588599368,-44.28148846663884,-37.16564892763537,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,unrate1,"<LM w/ ARIMA(0,1,1) errors>",0.03599783435813549,11.13116494243485,-16.2623298848697,-15.63075093750128,-11.049321030019595,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,unrate2,"<LM w/ ARIMA(0,1,1) errors>",0.035223051064505996,11.587412516784568,-17.174825033569135,-16.543246086200714,-11.96181617871903,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,unrate3,"<LM w/ ARIMA(0,1,1) errors>",0.03473502694582123,12.43542319151986,-16.87084638303972,-15.789765301958639,-9.920167909906246,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,unrate4,"<LM w/ ARIMA(0,1,1) errors>",0.035633487306444,12.443516715108785,-14.88703343021757,-13.220366763550905,-6.198685338800729,,
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,unrate5,"<LM w/ ARIMA(0,1,1) errors>",0.036450874044333906,12.528330719628045,-13.05666143925609,-10.656661439256089,-2.630643729555878,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,unrate1,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.051532548783879334,4.610244815471013,-1.2204896309420263,-0.38715629760869297,6.6606780232664615,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,unrate2,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.04157851333844494,9.670329897719263,-13.340659795438526,-12.850863877071179,-7.429784054782161,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,unrate3,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.040649169287938464,10.785901670906064,-13.571803341812128,-12.738470008478794,-5.69063568760364,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,unrate4,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.036280338083384246,13.990514796086579,-17.981029592173158,-16.704433847492307,-8.129570024412548,,
