BankName,BankType,.model,.type,RMSE,MAE
AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"CITIBANK, N.A. (476810)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
COMENITY BANK (1391778),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
DISCOVER BANK (30810),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
GOLDMAN SACHS BANK USA (2182786),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
REGIONS BANK (233031),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
SYNCHRONY BANK (1216022),LargeCreditCardBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"TD BANK, N.A. (497404)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
TRUIST BANK (852320),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
UBS BANK USA (3212149),LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,m8.7,Training,0.14577977068835937,0.09778257987664096
