IDRSSD,BankName,BankType,.model,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,Training,-7.37257477290143e-18,0.16312545631422473,0.12840681920838432,-Inf,Inf,0.5679922492629953,0.5543342963587498,-0.2123128711634212
30810,DISCOVER BANK (30810),LargeCreditCardBank,tslm,Training,6.23020967137113e-18,0.0747904485412202,0.058792766575270154,NA,Inf,0.8907994935646992,0.8283503352118282,0.4139080591989966
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,tslm,Training,2.826669949694351e-19,0.2892208572313916,0.16958597895622168,Inf,Inf,0.6275796918610177,0.7099787370849164,0.33245514492089934
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,tslm,Training,1.6739123519704812e-18,0.11612605238222888,0.09251298126720969,71.28952223894366,104.6827992791313,1.2434540492904536,1.1566431674692037,-0.10906512559756851
233031,REGIONS BANK (233031),LargeBank,tslm,Training,-3.307865333539294e-19,0.10320784233621887,0.07809185853564278,Inf,Inf,0.745600659385534,0.7855115539862606,-0.20564027044146047
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,tslm,Training,-4.518861678279791e-18,0.1725936829666891,0.10858188690551282,24.97597863934163,73.95722238206828,0.6093084301172662,0.6946916708219121,-0.3015416939291689
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,tslm,Training,-8.35638785534198e-18,0.19903196886408464,0.1458476174309932,74.95275844350756,129.03674913492324,0.7533451313584358,0.6986890370242361,-0.07374656549446304
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,tslm,Training,-6.158870674257935e-18,0.09569310158817039,0.06744250216691237,Inf,Inf,0.7527064973985758,0.8220134707361654,0.2228128275078091
476810,"CITIBANK, N.A. (476810)",LargeBank,tslm,Training,-1.1242634427588437e-17,0.16204972512585106,0.10508373107482338,Inf,Inf,0.6377914313789854,0.6186228474588417,-0.1770366459884406
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,tslm,Training,-2.2920106529167615e-18,0.052172413314675294,0.03429403760744629,NA,Inf,0.43779622477591024,0.5276944701421936,-0.07515158228807983
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,tslm,Training,1.0259765002594311e-18,0.17361957165747868,0.12688615600054975,Inf,Inf,0.7267248339092197,0.753061949746929,-0.5735102985930886
497404,"TD BANK, N.A. (497404)",LargeBank,tslm,Training,-5.170006765724498e-18,0.2081076897593928,0.12104924577437837,-Inf,Inf,0.7205312248474903,0.6307452128876361,-0.43974175300206925
