.id,UBPRE524.diff.observed,new_data,forecast
1,-0.17999999999999994,,
2,0.25,,
3,-0.04000000000000003,,
4,0.02000000000000001,,
5,-0.17000000000000004,,
6,0.39,,
7,-0.46,,
8,0.03999999999999992,,
9,-0.08999999999999997,,
10,0.07999999999999996,,
11,0.14,,
12,-0.19999999999999996,,
13,-0.03000000000000002,,
14,0.18000000000000005,,
15,-0.05000000000000004,,
16,-0.07999999999999996,,
17,-0.07,,
18,0.08000000000000002,,
19,-0.05000000000000004,,
20,0.12,,
21,-0.31,,
22,0.26000000000000006,,
23,-0.04000000000000003,,
24,0.01,,
25,-0.05000000000000004,,
26,0.09999999999999998,,
27,-0.23,,
28,0.15000000000000002,,
29,-0.18,,
30,0.01,,
31,-0.07,,
32,0.01,,
33,0.09999999999999998,,
34,-0.03999999999999998,,
35,0.06,,
36,-0.10000000000000003,,
37,-0.02999999999999997,,
