.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
tslm,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,Test,-7.390062234412768e-19,0.15842153861066294,0.12797389062911543,-Inf,Inf,NA,NA,-0.2897731770741697
tslm,30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,1.5285183917378089e-18,0.06969402596777606,0.056163255234064756,NA,Inf,NA,NA,0.35438968279393346
tslm,75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,5.064379147296447e-18,0.39208119038335915,0.23576703655604705,Inf,Inf,NA,NA,0.2175708683278052
tslm,112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-6.300537606934588e-18,0.17132106836754232,0.13075592752962384,94.3445517875664,101.83755365003464,NA,NA,-0.001338249068788133
tslm,233031,REGIONS BANK (233031),LargeBank,Test,-1.6950905549007889e-19,0.10907196481237699,0.08390714457996765,NA,Inf,NA,NA,-0.20235735650424405
tslm,280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-3.3086831880466224e-18,0.25720013238700495,0.1644218947778444,48.2353015619168,81.36519232803262,NA,NA,-0.3537231983087417
tslm,413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,2.6448095101009417e-18,0.17746491771048237,0.1342482296474182,88.13656842851337,132.07485079627358,NA,NA,-0.10263105069703919
tslm,451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,5.792013579513697e-19,0.09549807614245615,0.06762687426780782,Inf,Inf,NA,NA,-0.018168102763699238
tslm,476810,"CITIBANK, N.A. (476810)",LargeBank,Test,2.1678202629925655e-17,0.18421490605759747,0.11621103470321614,Inf,Inf,NA,NA,-0.1488951911678969
tslm,480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,2.0274306348143633e-18,0.04625243863069073,0.030791014109642693,NA,Inf,NA,NA,-0.08203307795736962
tslm,491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,2.385830043798736e-18,0.20489613584000096,0.14986531300671446,Inf,Inf,NA,NA,-0.5134330872497683
tslm,497404,"TD BANK, N.A. (497404)",LargeBank,Test,4.364143792001301e-18,0.21517152404482828,0.14340597065798302,-Inf,Inf,NA,NA,-0.2799602114756849
