.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.029663018004680297,0.029663018004680297,0.029663018004680297,-4.5635412314892765,4.5635412314892765,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.14984268349395913,0.14984268349395913,0.14984268349395913,19.210600447943477,19.210600447943477,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.17928800723818183,0.17928800723818183,0.17928800723818183,23.90506763175758,23.90506763175758,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.10917345632088504,0.10917345632088504,0.10917345632088504,14.556460842784672,14.556460842784672,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.11947943182206522,0.11947943182206522,0.11947943182206522,-18.66866122219769,18.66866122219769,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.07158789524646525,0.07158789524646525,0.07158789524646525,-9.806560992666473,9.806560992666473,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.04762309197168457,0.04762309197168457,0.04762309197168457,6.707477742490784,6.707477742490784,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.013102369420630255,0.013102369420630255,0.013102369420630255,1.7705904622473319,1.7705904622473319,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,0.013635511002479506,0.013635511002479506,0.013635511002479506,2.005222206246986,2.005222206246986,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.022650742729492745,0.022650742729492745,0.022650742729492745,-2.941654899934123,2.941654899934123,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.05191067544099448,0.05191067544099448,0.05191067544099448,-7.633922858969775,7.633922858969775,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff.lag1),1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,Test,-0.006525341455005829,0.006525341455005829,0.006525341455005829,-0.9886880992433074,0.9886880992433074,NA,NA,NA
