.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.10960265696529903,0.10960265696529903,0.10960265696529903,-12.454847382420343,12.454847382420343,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.06222805044397439,0.06222805044397439,0.06222805044397439,6.285661661007515,6.285661661007515,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.04318926903644127,0.04318926903644127,0.04318926903644127,4.276165251132799,4.276165251132799,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.06190453705972032,0.06190453705972032,0.06190453705972032,6.190453705972033,6.190453705972033,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.2039779177336586,0.2039779177336586,0.2039779177336586,21.24769976392277,21.24769976392277,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.007334380275472174,0.007334380275472174,0.007334380275472174,0.712075754900211,0.712075754900211,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.09097244673950788,0.09097244673950788,0.09097244673950788,-8.918867327402733,8.918867327402733,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.06180713180420927,0.06180713180420927,0.06180713180420927,-6.243144626687805,6.243144626687805,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.301076601532152,0.301076601532152,0.301076601532152,39.615342306862104,39.615342306862104,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.22363220630566472,0.22363220630566472,0.22363220630566472,-24.57496772589722,24.57496772589722,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.10373215606152209,0.10373215606152209,0.10373215606152209,10.373215606152208,10.373215606152208,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.2998869305686873,0.2998869305686873,0.2998869305686873,-38.94635461931004,38.94635461931004,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.06603147063406611,0.06603147063406611,0.06603147063406611,-11.19177468374002,11.19177468374002,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,-0.019254828366895627,0.019254828366895627,0.019254828366895627,-3.0563219629993057,3.0563219629993057,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.024061669991622514,0.024061669991622514,0.024061669991622514,3.819312697082939,3.819312697082939,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.08924620904079106,0.08924620904079106,0.08924620904079106,13.944720162623604,13.944720162623604,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.17023301302962884,0.17023301302962884,0.17023301302962884,27.9070513163326,27.9070513163326,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.12140795912922642,0.12140795912922642,0.12140795912922642,16.187727883896855,16.187727883896855,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.041727657034452914,0.041727657034452914,0.041727657034452914,4.967578218387252,4.967578218387252,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.0015142400356533692,0.0015142400356533692,0.0015142400356533692,0.16640000391795265,0.16640000391795265,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,Test,0.061772357337364525,0.061772357337364525,0.061772357337364525,6.571527376315375,6.571527376315375,NA,NA,NA
