.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.2339451509401831,0.2339451509401831,0.2339451509401831,-259.9390566002032,259.9390566002032,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.10182938245880523,0.10182938245880523,0.10182938245880523,-101.82938245880536,101.82938245880536,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.18365669066998414,0.18365669066998414,0.18365669066998414,166.96062788180396,166.96062788180396,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.17358633449746852,0.17358633449746852,0.17358633449746852,-216.98291812183606,216.98291812183606,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,-0.02031438915899135,0.02031438915899135,0.02031438915899135,33.85731526498555,33.85731526498555,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.21729203423801374,0.21729203423801374,0.21729203423801374,-543.230085595034,543.230085595034,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.3601815805180939,0.3601815805180939,0.3601815805180939,600.3026341968226,600.3026341968226,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.10415122869495187,0.10415122869495187,0.10415122869495187,-1041.5122869495187,1041.5122869495187,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.043765477655396616,0.043765477655396616,0.043765477655396616,-145.88492551798862,145.88492551798862,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,-0.03732827384008016,0.03732827384008016,0.03732827384008016,93.32068460020034,93.32068460020034,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.10372218728956656,0.10372218728956656,0.10372218728956656,86.43515607463871,86.43515607463871,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.020514576372685514,0.020514576372685514,0.020514576372685514,68.3819212422855,68.3819212422855,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,-0.04066062027899966,0.04066062027899966,0.04066062027899966,67.76770046499962,67.76770046499962,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.04035619517538655,0.04035619517538655,0.04035619517538655,100.89048793846631,100.89048793846631,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.07177946443487715,0.07177946443487715,0.07177946443487715,47.852976289918125,47.852976289918125,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,Test,0.08029750519244803,0.08029750519244803,0.08029750519244803,100.37188149055996,100.37188149055996,NA,NA,NA
