.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.11261570796936926,0.11261570796936926,0.11261570796936926,102.37791633579015,102.37791633579015,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.9728337241286484,0.9728337241286484,0.9728337241286484,1389.762463040925,1389.762463040925,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.7209939830973047,0.7209939830973047,0.7209939830973047,1029.99140442472,1029.99140442472,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.08674542598704196,0.08674542598704196,0.08674542598704196,433.7271299352095,433.7271299352095,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.20323189419399734,0.20323189419399734,0.20323189419399734,-338.71982365666196,338.71982365666196,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.045946293942753964,0.045946293942753964,0.045946293942753964,114.86573485688483,114.86573485688483,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.1386667715684279,0.1386667715684279,0.1386667715684279,138.6667715684281,138.6667715684281,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.38157686898450216,0.38157686898450216,0.38157686898450216,-272.5549064175013,272.5549064175013,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.13821865173931178,0.13821865173931178,0.13821865173931178,153.57627971034628,153.57627971034628,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.1247114973511068,0.1247114973511068,0.1247114973511068,77.94468584444178,77.94468584444178,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.04801708215694894,0.04801708215694894,0.04801708215694894,15.005338174046543,15.005338174046543,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.6819928159028914,0.6819928159028914,0.6819928159028914,117.5849682591192,117.5849682591192,NA,NA,NA
