.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.10873488838999945,0.10873488838999945,0.10873488838999945,6.040827132777747,6.040827132777747,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.09470115298886239,0.09470115298886239,0.09470115298886239,-5.956047357790087,5.956047357790087,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.10180923383654816,0.10180923383654816,0.10180923383654816,-6.879002286253254,6.879002286253254,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.038403925159735675,0.038403925159735675,0.038403925159735675,-2.4776725909506885,2.4776725909506885,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.04760177395797527,0.04760177395797527,0.04760177395797527,-2.7357341355158202,2.7357341355158202,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.003983615488891479,0.003983615488891479,0.003983615488891479,0.2505418546472628,0.2505418546472628,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.014711174898477175,0.014711174898477175,0.014711174898477175,1.0007601971753182,1.0007601971753182,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.0015729533980446408,0.0015729533980446408,0.0015729533980446408,-0.10083034602850262,0.10083034602850262,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.03895727459977949,0.03895727459977949,0.03895727459977949,2.2134815113511075,2.2134815113511075,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.004456103575335657,0.004456103575335657,0.004456103575335657,-0.27850647345847857,0.27850647345847857,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.020634652410476795,0.020634652410476795,0.020634652410476795,-1.314309070731006,1.314309070731006,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.12653700064593254,0.12653700064593254,0.12653700064593254,7.148983087340821,7.148983087340821,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.18731056402198987,0.18731056402198987,0.18731056402198987,9.655183712473704,9.655183712473704,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.25206317658928534,0.25206317658928534,0.25206317658928534,12.795085106055094,12.795085106055094,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.07144221005628992,0.07144221005628992,0.07144221005628992,3.6825881472314395,3.6825881472314395,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.165196457098034,0.165196457098034,0.165196457098034,7.904136703255215,7.904136703255215,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.031803206700123265,0.031803206700123265,0.031803206700123265,1.3948774868475118,1.3948774868475118,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.27950251581058394,0.27950251581058394,0.27950251581058394,-13.975125790529198,13.975125790529198,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.06264597009684647,0.06264597009684647,0.06264597009684647,-3.262810942544087,3.262810942544087,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.06110111173507171,0.06110111173507171,0.06110111173507171,3.085914734094531,3.085914734094531,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.04363892044126194,0.04363892044126194,0.04363892044126194,-1.9926447690073945,1.9926447690073945,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,-0.04464193025078966,0.04464193025078966,0.04464193025078966,-2.2776495025913097,2.2776495025913097,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.06940972218590313,0.06940972218590313,0.06940972218590313,3.4532200092489127,3.4532200092489127,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,Test,0.029642660181462777,0.029642660181462777,0.029642660181462777,1.4821330090731388,1.4821330090731388,NA,NA,NA
