.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.1184816429636506,0.1184816429636506,0.1184816429636506,-8.64829510683581,8.64829510683581,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.2834785552241652,0.2834785552241652,0.2834785552241652,-19.416339398915426,19.416339398915426,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.19316520200479514,0.19316520200479514,0.19316520200479514,-13.79751442891394,13.79751442891394,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.0743676336515815,0.0743676336515815,0.0743676336515815,-5.468208356733934,5.468208356733934,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.09388108223239922,0.09388108223239922,0.09388108223239922,-7.221621710184555,7.221621710184555,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,0.0841624397940468,0.0841624397940468,0.0841624397940468,6.474033830311293,6.474033830311293,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,0.006045315988501665,0.006045315988501665,0.006045315988501665,0.4914891047562329,0.4914891047562329,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,0.02677637418599277,0.02677637418599277,0.02677637418599277,2.2501154778145187,2.2501154778145187,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,0.03077928102575722,0.03077928102575722,0.03077928102575722,2.723830179270551,2.723830179270551,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,0.07286029231421365,0.07286029231421365,0.07286029231421365,5.97215510772243,5.97215510772243,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.042475466586162636,0.042475466586162636,0.042475466586162636,-3.5396222155135533,3.5396222155135533,NA,NA,NA
ARIMA(UBPRE524.Value ~ TDSP.log.diff + TDSP.log.diff.lag1),476810,"CITIBANK, N.A. (476810)",LargeBank,Test,-0.03398180571109699,0.03398180571109699,0.03398180571109699,-2.9044278385552986,2.9044278385552986,NA,NA,NA
