.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.35627521653354677,0.35627521653354677,0.35627521653354677,-13.495273353543439,13.495273353543439,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.04013650047042017,0.04013650047042017,0.04013650047042017,-1.4756066349419177,1.4756066349419177,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.09642362740685195,0.09642362740685195,0.09642362740685195,-3.5712454595130354,3.5712454595130354,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.2975491640684602,0.2975491640684602,0.2975491640684602,-12.55481704930212,12.55481704930212,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.19845501922001452,0.19845501922001452,0.19845501922001452,7.574619054199028,7.574619054199028,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.2547282757935436,0.2547282757935436,0.2547282757935436,9.54038486118141,9.54038486118141,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.0025854151330961805,0.0025854151330961805,0.0025854151330961805,0.09647071392149927,0.09647071392149927,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.15481130571904433,0.15481130571904433,0.15481130571904433,6.094933296025368,6.094933296025368,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.07850786196020687,0.07850786196020687,0.07850786196020687,2.8342188433287676,2.8342188433287676,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.23986783471287554,0.23986783471287554,0.23986783471287554,8.628339378160991,8.628339378160991,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.3608448770397037,0.3608448770397037,0.3608448770397037,-14.433795081588146,14.433795081588146,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.07413164870269373,0.07413164870269373,0.07413164870269373,-2.745616618618286,2.745616618618286,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.09583752248195454,0.09583752248195454,0.09583752248195454,-3.5894203176762,3.5894203176762,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-3.593130109793563e-4,3.593130109793563e-4,3.593130109793563e-4,-0.012696572826125666,0.012696572826125666,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.006604957570033321,0.006604957570033321,0.006604957570033321,-0.24924368188804982,0.24924368188804982,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.055179220172280274,0.055179220172280274,0.055179220172280274,-2.1222776989338565,2.1222776989338565,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.41964306470227664,0.41964306470227664,0.41964306470227664,13.804048180995942,13.804048180995942,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.3376689376790383,0.3376689376790383,0.3376689376790383,11.446404667086043,11.446404667086043,NA,NA,NA
"ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1)",3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.365560894003528,0.365560894003528,0.365560894003528,12.26714409407812,12.26714409407812,NA,NA,NA
