.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.24630118251958802,0.24630118251958802,0.24630118251958802,492.60236503917565,492.60236503917565,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.17028581936729298,0.17028581936729298,0.17028581936729298,212.857274209116,212.857274209116,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.15250953210386559,0.15250953210386559,0.15250953210386559,508.3651070128849,508.3651070128849,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.20296212010636594,0.20296212010636594,0.20296212010636594,169.13510008863813,169.13510008863813,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.2669380447483465,0.2669380447483465,0.2669380447483465,-889.7934824944876,889.7934824944876,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.3252545932301667,0.3252545932301667,0.3252545932301667,232.32470945011926,232.32470945011926,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.10365348620597133,0.10365348620597133,0.10365348620597133,115.17054022885694,115.17054022885694,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.18556573550638833,0.18556573550638833,0.18556573550638833,80.6807545679949,80.6807545679949,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.026438839643724017,0.026438839643724017,0.026438839643724017,-264.38839643724015,264.38839643724015,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.15061529828816092,0.15061529828816092,0.15061529828816092,125.51274857346743,125.51274857346743,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.02202042896195103,0.02202042896195103,0.02202042896195103,110.10214480975509,110.10214480975509,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.04739417159249332,0.04739417159249332,0.04739417159249332,94.78834318498676,94.78834318498676,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.0048492329476078,0.0048492329476078,0.0048492329476078,24.24616473803912,24.24616473803912,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.03461188749816682,0.03461188749816682,0.03461188749816682,26.624528844743683,26.624528844743683,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.11316558060193177,0.11316558060193177,0.11316558060193177,1131.6558060193177,1131.6558060193177,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.1944649437003366,0.1944649437003366,0.1944649437003366,388.9298874006729,388.9298874006729,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,-0.006713210566637349,0.006713210566637349,0.006713210566637349,-67.13210566637497,67.13210566637497,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 1 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.log.diff + pdq(1, 0, 0) + 
    PDQ(0, 0, 0))",723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,Test,0.22613557789042954,0.22613557789042954,0.22613557789042954,98.31981647409971,98.31981647409971,NA,NA,NA
