.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,-0.7820309810415569,0.7820309810415569,0.7820309810415569,1955.0774526038963,1955.0774526038963,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,0.17009027773323349,0.17009027773323349,0.17009027773323349,-154.62752521203043,154.62752521203043,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + CDSP.log.diff + CDSP.log.diff.lag1 + 
    UBPRB538.pct_change + pdq(1, 0, 0) + PDQ(1, 0, 0))",491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,Test,-0.14244806747899316,0.14244806747899316,0.14244806747899316,-142.44806747899318,142.44806747899318,NA,NA,NA
