.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.25835015893876667,0.25835015893876667,0.25835015893876667,-14.11749502397632,14.11749502397632,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.3415029960714504,0.3415029960714504,0.3415029960714504,-17.42362224854339,17.42362224854339,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.46409853397164547,0.46409853397164547,0.46409853397164547,-27.46145171429855,27.46145171429855,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.4524772619486215,0.4524772619486215,0.4524772619486215,-30.780766118953846,30.780766118953846,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.07667449595945808,0.07667449595945808,0.07667449595945808,4.283491394383133,4.283491394383133,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.11624663278958502,0.11624663278958502,0.11624663278958502,-6.118243831030791,6.118243831030791,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.579197157572015,0.579197157572015,0.579197157572015,32.357383104581835,32.357383104581835,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.09485346334117462,0.09485346334117462,0.09485346334117462,5.928341458823414,5.928341458823414,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.4860422010298395,0.4860422010298395,0.4860422010298395,-33.52015179516135,33.52015179516135,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.5662707906545952,0.5662707906545952,0.5662707906545952,28.033207458148272,28.033207458148272,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.261785336098046,0.261785336098046,0.261785336098046,12.232959630749813,12.232959630749813,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.5753897595815509,0.5753897595815509,0.5753897595815509,-34.04673133618645,34.04673133618645,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.23273964879318854,0.23273964879318854,0.23273964879318854,-15.620110657260975,15.620110657260975,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.00600021234440673,0.00600021234440673,0.00600021234440673,-0.37976027496245124,0.37976027496245124,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.10797060948535786,0.10797060948535786,0.10797060948535786,-6.7906043701482925,6.7906043701482925,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.10636733680133914,0.10636733680133914,0.10636733680133914,6.818419025726868,6.818419025726868,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,-0.29110422955322446,0.29110422955322446,0.29110422955322446,-22.221696912459883,22.221696912459883,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff.lag1),413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,Test,0.23821178857928182,0.23821178857928182,0.23821178857928182,15.987368361025625,15.987368361025625,NA,NA,NA
