.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.12244256404684117,0.12244256404684117,0.12244256404684117,204.07094007806842,204.07094007806842,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.2221811351689203,0.2221811351689203,0.2221811351689203,100.99142507678197,100.99142507678197,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.02239215233284674,0.02239215233284674,0.02239215233284674,223.9215233284674,223.9215233284674,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.2880684736555037,0.2880684736555037,0.2880684736555037,125.24716245891466,125.24716245891466,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.17230061681819916,0.17230061681819916,0.17230061681819916,246.14373831171287,246.14373831171287,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.030282539462880426,0.030282539462880426,0.030282539462880426,-25.23544955240038,25.23544955240038,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.0596888837686796,0.0596888837686796,0.0596888837686796,74.61110471084943,74.61110471084943,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.06951961872007129,0.06951961872007129,0.06951961872007129,-231.73206240023916,231.73206240023916,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.0790189449226132,0.0790189449226132,0.0790189449226132,-Inf,Inf,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.02298537410908496,0.02298537410908496,0.02298537410908496,28.73171763635625,28.73171763635625,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.012921802780209315,0.012921802780209315,0.012921802780209315,129.21802780209316,129.21802780209316,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.02817382045391474,0.02817382045391474,0.02817382045391474,-31.304244948794206,31.304244948794206,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.052328229536306,0.052328229536306,0.052328229536306,74.75461362329445,74.75461362329445,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.22803809141515274,0.22803809141515274,0.22803809141515274,162.8843510108235,162.8843510108235,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-1.7130186114991979,1.7130186114991979,1.7130186114991979,439.2355414100507,439.2355414100507,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.9406302275348207,0.9406302275348207,0.9406302275348207,391.9292614728418,391.9292614728418,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.0782855908353354,0.0782855908353354,0.0782855908353354,260.95196945111786,260.95196945111786,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,-0.14404123102262972,0.14404123102262972,0.14404123102262972,80.02290612368316,80.02290612368316,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,Test,0.01637693577897667,0.01637693577897667,0.01637693577897667,-16.37693577897666,16.37693577897666,NA,NA,NA
