.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.25071257658659873,0.25071257658659873,0.25071257658659873,-19.435083456325483,19.435083456325483,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-1.0760083691242635,1.0760083691242635,1.0760083691242635,-79.70432363883432,79.70432363883432,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.4744865718766469,0.4744865718766469,0.4744865718766469,-36.78190479663929,36.78190479663929,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.5490870220755308,0.5490870220755308,0.5490870220755308,-47.335088109959564,47.335088109959564,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.4462769483724425,0.4462769483724425,0.4462769483724425,-37.50226456911282,37.50226456911282,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.11727300048518696,0.11727300048518696,0.11727300048518696,-10.661181862289723,10.661181862289723,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,-0.051327251896162274,0.051327251896162274,0.051327251896162274,-4.842193575109648,4.842193575109648,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,0.1609789461107054,0.1609789461107054,0.1609789461107054,15.044761318757512,15.044761318757512,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,0.003588698506959087,0.003588698506959087,0.003588698506959087,0.34506716413068145,0.34506716413068145,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change + UBPRB538.pct_change.lag1),817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,Test,0.02565481752344856,0.02565481752344856,0.02565481752344856,2.4433159546141483,2.4433159546141483,NA,NA,NA
