.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.00876107170727658,0.00876107170727658,0.00876107170727658,-0.663717553581559,0.663717553581559,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.04535468892913719,0.04535468892913719,0.04535468892913719,-3.9784814850120345,3.9784814850120345,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.09588156535337311,0.09588156535337311,0.09588156535337311,-9.40015346601697,9.40015346601697,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.15800848473299545,0.15800848473299545,0.15800848473299545,-13.983051746282785,13.983051746282785,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.06980348897137456,0.06980348897137456,0.06980348897137456,-6.463286015868014,6.463286015868014,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.3004829983833044,0.3004829983833044,0.3004829983833044,-27.82249985030596,27.82249985030596,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.078534105961797,0.078534105961797,0.078534105961797,7.408877920924245,7.408877920924245,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.05784475306174586,0.05784475306174586,0.05784475306174586,4.519121332948895,4.519121332948895,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.10471992082478532,0.10471992082478532,0.10471992082478532,8.1178233197508,8.1178233197508,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.17382581170170708,0.17382581170170708,0.17382581170170708,-13.68707178753599,13.68707178753599,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.15523390971630624,0.15523390971630624,0.15523390971630624,12.936159143025522,12.936159143025522,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.16695302175330617,0.16695302175330617,0.16695302175330617,11.130201450220412,11.130201450220412,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.12224690786315717,0.12224690786315717,0.12224690786315717,-8.731921990225514,8.731921990225514,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.030241744226574552,0.030241744226574552,0.030241744226574552,2.2738153553815454,2.2738153553815454,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.1307067202447425,0.1307067202447425,0.1307067202447425,9.90202426096534,9.90202426096534,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.10219949559450203,0.10219949559450203,0.10219949559450203,6.8132997063001355,6.8132997063001355,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.08394167193378421,0.08394167193378421,0.08394167193378421,5.312764046442039,5.312764046442039,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.026918124812821187,0.026918124812821187,0.026918124812821187,1.8065855579074623,1.8065855579074623,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.06069853565263483,0.06069853565263483,0.06069853565263483,-4.669118127125756,4.669118127125756,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.08790893475212114,0.08790893475212114,0.08790893475212114,-6.463892261185378,6.463892261185378,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.029689888897319605,0.029689888897319605,0.029689888897319605,-2.1671451749868322,2.1671451749868322,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.14762340768217141,0.14762340768217141,0.14762340768217141,10.697348382766044,10.697348382766044,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.06840338982340155,0.06840338982340155,0.06840338982340155,-6.392840170411359,6.392840170411359,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.04895421541996736,0.04895421541996736,0.04895421541996736,-4.491212423850216,4.491212423850216,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.09350425938657891,0.09350425938657891,0.09350425938657891,-8.13080516405034,8.13080516405034,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.0055475755171361385,0.0055475755171361385,0.0055475755171361385,0.5136643997348276,0.5136643997348276,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.052590565668981126,0.052590565668981126,0.052590565668981126,-5.42170780092589,5.42170780092589,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.1294549021000715,0.1294549021000715,0.1294549021000715,-12.21272661321429,12.21272661321429,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,0.17504963265926854,0.17504963265926854,0.17504963265926854,13.783435642462088,13.783435642462088,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.07851206163130309,0.07851206163130309,0.07851206163130309,-6.827135794026357,6.827135794026357,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UBPRB538.log.diff + UBPRB538.log.diff.lag1 + 
    UBPR3815.log.diff)",233031,REGIONS BANK (233031),LargeBank,Test,-0.006063876356933173,0.006063876356933173,0.006063876356933173,-0.5462951672912769,0.5462951672912769,NA,NA,NA
