.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.07265605408504627,0.07265605408504627,0.07265605408504627,-7.413883069902681,7.413883069902681,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.23655376566615416,0.23655376566615416,0.23655376566615416,-28.848020203189535,28.848020203189535,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.10769248025849998,0.10769248025849998,0.10769248025849998,-12.237781847556816,12.237781847556816,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.20162545331768866,0.20162545331768866,0.20162545331768866,-28.397951171505447,28.397951171505447,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.11105848341166491,0.11105848341166491,0.11105848341166491,-13.38054017008011,13.38054017008011,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.1358586723948686,0.1358586723948686,0.1358586723948686,13.863129836211083,13.863129836211083,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.04670618460811404,0.04670618460811404,0.04670618460811404,-4.448208057915623,4.448208057915623,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.19504627429314647,0.19504627429314647,0.19504627429314647,17.260732238331546,17.260732238331546,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.45465846479115757,0.45465846479115757,0.45465846479115757,30.72016653994308,30.72016653994308,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.4409877282287453,0.4409877282287453,0.4409877282287453,-36.74897735239544,36.74897735239544,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.27705992044336436,0.27705992044336436,0.27705992044336436,19.78999431738317,19.78999431738317,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.2398923560295152,0.2398923560295152,0.2398923560295152,16.208942974967243,16.208942974967243,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.12751579112704148,0.12751579112704148,0.12751579112704148,8.615931832908208,8.615931832908208,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.02342874869080025,0.02342874869080025,0.02342874869080025,1.6269964368611285,1.6269964368611285,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.3565778216704716,0.3565778216704716,0.3565778216704716,20.975165980615976,20.975165980615976,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.005387792312582906,0.005387792312582906,0.005387792312582906,-0.33053940567993295,0.33053940567993295,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.039832033015454904,0.039832033015454904,0.039832033015454904,2.37095434615803,2.37095434615803,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,-0.023690752096166,0.023690752096166,0.023690752096166,-1.4018196506607101,1.4018196506607101,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.07651629997237053,0.07651629997237053,0.07651629997237053,4.347517043884689,4.347517043884689,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.1327172342536238,0.1327172342536238,0.1327172342536238,6.948546296001247,6.948546296001247,NA,NA,NA
ARIMA(UBPRE524.Value ~ UNRATE.log.diff),722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,Test,0.0746586431498526,0.0746586431498526,0.0746586431498526,3.868323479266974,3.868323479266974,NA,NA,NA
