.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.060245316448504393,0.060245316448504393,0.060245316448504393,-2.7384234749320178,2.7384234749320178,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.17666200105095564,0.17666200105095564,0.17666200105095564,-8.789154281142073,8.789154281142073,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.0765015284468924,0.0765015284468924,0.0765015284468924,-3.608562662589264,3.608562662589264,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.09089650119108983,0.09089650119108983,0.09089650119108983,3.803200886656478,3.803200886656478,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.10584718590545306,0.10584718590545306,0.10584718590545306,4.642420434449695,4.642420434449695,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.0649337342667562,0.0649337342667562,0.0649337342667562,3.106877237643837,3.106877237643837,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.09464084380518001,0.09464084380518001,0.09464084380518001,4.206259724674667,4.206259724674667,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.12070710370251492,0.12070710370251492,0.12070710370251492,4.828284148100597,4.828284148100597,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.15298199205519847,0.15298199205519847,0.15298199205519847,6.347800500215704,6.347800500215704,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.09831594656028253,0.09831594656028253,0.09831594656028253,4.256101582696213,4.256101582696213,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.05140171628939205,0.05140171628939205,0.05140171628939205,2.0478771430036677,2.0478771430036677,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.030807106514565863,0.030807106514565863,0.030807106514565863,1.116199511397314,1.116199511397314,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.1058552711064853,0.1058552711064853,0.1058552711064853,-4.167530358523043,4.167530358523043,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.17741523561998518,0.17741523561998518,0.17741523561998518,-7.517594729660389,7.517594729660389,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.0873581919086246,0.0873581919086246,0.0873581919086246,-3.733256064471137,3.733256064471137,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.1692743598943971,0.1692743598943971,0.1692743598943971,6.387711694128193,6.387711694128193,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.050195751917397224,0.050195751917397224,0.050195751917397224,1.9380599195906265,1.9380599195906265,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.053218721089834276,0.053218721089834276,0.053218721089834276,-2.2174467120764283,2.2174467120764283,NA,NA,NA
ARIMA(UBPRE524.Value ~ RRSFS.Pop.log.diff),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.0022287723937521875,0.0022287723937521875,0.0022287723937521875,0.09364589889715073,0.09364589889715073,NA,NA,NA
