.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,1.0336593036738457,1.0336593036738457,1.0336593036738457,65.010019098984,65.010019098984,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.20389829098829626,0.20389829098829626,0.20389829098829626,-12.064987632443566,12.064987632443566,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.3563593418986779,0.3563593418986779,0.3563593418986779,20.71856638945802,20.71856638945802,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.17956706458929417,0.17956706458929417,0.17956706458929417,-12.73525280775136,12.73525280775136,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.6704984938821636,0.6704984938821636,0.6704984938821636,-51.183091136043025,51.183091136043025,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.5925548447339548,0.5925548447339548,0.5925548447339548,-39.2420426976129,39.2420426976129,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.32112582127284384,0.32112582127284384,0.32112582127284384,-22.300404255058602,22.300404255058602,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.30208961910453547,0.30208961910453547,0.30208961910453547,-24.966084223515328,24.966084223515328,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.17307829407454567,0.17307829407454567,0.17307829407454567,-15.050286441264843,15.050286441264843,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.013965040074322976,0.013965040074322976,0.013965040074322976,1.0579575813881041,1.0579575813881041,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.26638062124630135,0.26638062124630135,0.26638062124630135,18.892242641581657,18.892242641581657,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.36177922561499143,0.36177922561499143,0.36177922561499143,27.829171201153187,27.829171201153187,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.15785157759012236,0.15785157759012236,0.15785157759012236,11.958452847736542,11.958452847736542,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.22330576878009434,0.22330576878009434,0.22330576878009434,-15.837288565964139,15.837288565964139,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.12722544449683726,0.12722544449683726,0.12722544449683726,8.596313817353868,8.596313817353868,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.09139307943858643,0.09139307943858643,0.09139307943858643,-7.491236019556265,7.491236019556265,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.03559023076736256,0.03559023076736256,0.03559023076736256,-2.9413413857324433,2.9413413857324433,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.5304140840420875,0.5304140840420875,0.5304140840420875,-40.489624736037214,40.489624736037214,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.4254126330874478,0.4254126330874478,0.4254126330874478,30.171108729606228,30.171108729606228,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.0438120674586564,0.0438120674586564,0.0438120674586564,-3.2941404104252934,3.2941404104252934,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.039214756462307765,0.039214756462307765,0.039214756462307765,-2.6143170974871843,2.6143170974871843,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.09667790655430464,0.09667790655430464,0.09667790655430464,6.15782844294934,6.15782844294934,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.28151313856623705,0.28151313856623705,0.28151313856623705,16.55959638624924,16.55959638624924,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.06969606327410793,0.06969606327410793,0.06969606327410793,-4.467696363724867,4.467696363724867,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.10632902320516857,0.10632902320516857,0.10632902320516857,-6.604287155600532,6.604287155600532,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.007074659365976066,0.007074659365976066,0.007074659365976066,-0.40196928215773103,0.40196928215773103,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.04120056154753238,0.04120056154753238,0.04120056154753238,-2.6242395890148007,2.6242395890148007,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.13256285344162677,0.13256285344162677,0.13256285344162677,-9.079647496001835,9.079647496001835,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.19694710215888,0.19694710215888,0.19694710215888,-14.375700887509488,14.375700887509488,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.04955342617599823,0.04955342617599823,0.04955342617599823,-3.217754946493391,3.217754946493391,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.009051060438090008,0.009051060438090008,0.009051060438090008,-0.5728519264613929,0.5728519264613929,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.061586414651975785,0.061586414651975785,0.061586414651975785,-4.105760976798386,4.105760976798386,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.05214974801754857,0.05214974801754857,0.05214974801754857,3.5965343460378323,3.5965343460378323,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.12610138508584479,0.12610138508584479,0.12610138508584479,-8.520363857151676,8.520363857151676,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.02111602106566135,0.02111602106566135,0.02111602106566135,1.4267581801122535,1.4267581801122535,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.1629569523346055,0.1629569523346055,0.1629569523346055,-11.723521750691043,11.723521750691043,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.22341112538065278,0.22341112538065278,0.22341112538065278,-21.48183897890892,21.48183897890892,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.059126666747942425,0.059126666747942425,0.059126666747942425,-5.326726734048867,5.326726734048867,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.24002764081611927,0.24002764081611927,0.24002764081611927,-22.859775315820883,22.859775315820883,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.05842016188845833,0.05842016188845833,0.05842016188845833,7.2123656652417685,7.2123656652417685,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.2522241722808831,0.2522241722808831,0.2522241722808831,-31.92711041530166,31.92711041530166,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.2568413743357073,0.2568413743357073,0.2568413743357073,-29.186519810875833,29.186519810875833,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.05505201571016061,0.05505201571016061,0.05505201571016061,5.560809667692991,5.560809667692991,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRE524.group.log.diff),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.028905804268602342,0.028905804268602342,0.028905804268602342,-2.8619608186734995,2.8619608186734995,NA,NA,NA
