.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,NA,NA,NA,NA,NA,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,0.2647165834920291,0.2647165834920291,0.2647165834920291,-330.89572936503606,330.89572936503606,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,-0.0017676259045976694,0.0017676259045976694,0.0017676259045976694,2.209532380747085,2.209532380747085,NA,NA,NA
"ARIMA(UBPRE524.diff ~ 0 + RRSFS.Pop.log.diff + UNRATE.log.diff + 
    UNRATE.log.diff.lag1 + UBPRB538.pct_change + pdq(1, 0, 0) + 
    PDQ(1, 0, 0))",504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,Test,-0.2147543796858743,0.2147543796858743,0.2147543796858743,-268.44297460734265,268.44297460734265,NA,NA,NA
