.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.9218815298127461,0.9218815298127461,0.9218815298127461,167.61482360231744,167.61482360231744,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.04009238312419716,0.04009238312419716,0.04009238312419716,-5.011547890524645,5.011547890524645,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.02991329663784026,0.02991329663784026,0.02991329663784026,3.93596008392635,3.93596008392635,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.06868636665424577,0.06868636665424577,0.06868636665424577,-8.80594444285202,8.80594444285202,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.10872324575997772,0.10872324575997772,0.10872324575997772,17.823482911471757,17.823482911471757,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.1538554725809823,0.1538554725809823,0.1538554725809823,15.385547258098232,15.385547258098232,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.18292812598036257,0.18292812598036257,0.18292812598036257,-33.875578885252324,33.875578885252324,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.2968951798324365,0.2968951798324365,0.2968951798324365,-51.18882410904079,51.18882410904079,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.13440685148894604,0.13440685148894604,0.13440685148894604,-27.429969691621643,27.429969691621643,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.23400164943572754,0.23400164943572754,0.23400164943572754,-41.05292095363641,41.05292095363641,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.026319287309158224,0.026319287309158224,0.026319287309158224,3.706941874529327,3.706941874529327,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.2939267890527828,0.2939267890527828,0.2939267890527828,-57.63270373583976,57.63270373583976,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,-0.009542389741048596,0.009542389741048596,0.009542389741048596,-1.9879978627184576,1.9879978627184576,NA,NA,NA
ARIMA(UBPRE524.Value ~ UBPRB538.pct_change.lag1),3212149,UBS BANK USA (3212149),LargeBank,Test,0.08453969988902232,0.08453969988902232,0.08453969988902232,12.809045437730655,12.809045437730655,NA,NA,NA
