.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.9454824237904231,0.9454824237904231,0.9454824237904231,-53.11699010058557,53.11699010058557,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.28407738251312664,0.28407738251312664,0.28407738251312664,-15.43898818006123,15.43898818006123,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-1.4622823758077086,1.4622823758077086,1.4622823758077086,-85.51358922852097,85.51358922852097,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.17014473276488018,0.17014473276488018,0.17014473276488018,-11.898233060481132,11.898233060481132,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.16371838191201027,0.16371838191201027,0.16371838191201027,-11.863650863189152,11.863650863189152,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.34322904989200875,0.34322904989200875,0.34322904989200875,-24.002031460979634,24.002031460979634,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.40118425050980155,0.40118425050980155,0.40118425050980155,-27.10704395336497,27.10704395336497,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.25622730890843304,0.25622730890843304,0.25622730890843304,-20.175378654207325,20.175378654207325,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.12561065473034705,0.12561065473034705,0.12561065473034705,-10.381045845483229,10.381045845483229,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.21646088926336882,0.21646088926336882,0.21646088926336882,15.800064909734948,15.800064909734948,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.1183534208469399,0.1183534208469399,0.1183534208469399,8.638935828243788,8.638935828243788,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.1580088304671179,0.1580088304671179,0.1580088304671179,-13.278052980430074,13.278052980430074,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.04892361314495597,0.04892361314495597,0.04892361314495597,4.146068910589489,4.146068910589489,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.04053434097494524,0.04053434097494524,0.04053434097494524,-3.2170111884877173,3.2170111884877173,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.028120735284192344,0.028120735284192344,0.028120735284192344,2.163133483399411,2.163133483399411,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.056946947563489836,0.056946947563489836,0.056946947563489836,-5.17699523304453,5.17699523304453,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.10643782078100172,0.10643782078100172,0.10643782078100172,9.17567420525877,9.17567420525877,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.02142327566434843,0.02142327566434843,0.02142327566434843,-1.673693411277221,1.673693411277221,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.08475126976078395,0.08475126976078395,0.08475126976078395,-6.726291250855869,6.726291250855869,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.00875224751601289,0.00875224751601289,0.00875224751601289,0.795658865092081,0.795658865092081,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.10747580684245084,0.10747580684245084,0.10747580684245084,-9.860165765362462,9.860165765362462,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.029319127536712397,0.029319127536712397,0.029319127536712397,2.3836689054237725,2.3836689054237725,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.03356663915156832,0.03356663915156832,0.03356663915156832,2.685331132125466,2.685331132125466,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.07732815155550643,0.07732815155550643,0.07732815155550643,6.498163996261044,6.498163996261044,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,0.009126250133430824,0.009126250133430824,0.009126250133430824,0.730100010674466,0.730100010674466,NA,NA,NA
"ARIMA(UBPRE524.Value ~ UNRATE.log.diff + UNRATE.log.diff.lag1 + 
    UNRATE.log.diff.lag2)",451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,Test,-0.0842466644475337,0.0842466644475337,0.0842466644475337,-6.382323064207099,6.382323064207099,NA,NA,NA
