BankName,BankType,.model,.type,RMSE,MAE
AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,m8.8,CV,0.12080847896011282,0.09380193863594373
"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,m8.8,CV,0.05244750126313023,0.037890044578921304
BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,m8.8,CV,0.12039381484381315,0.09088172339891246
BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,m8.8,CV,0.2921136768329529,0.17808431529643365
"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,m8.8,CV,0.1294810022517337,0.09732772940370177
"CITIBANK, N.A. (476810)",LargeBank,m8.8,CV,0.25297017127048516,0.13939881747967994
"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,m8.8,CV,0.11090295192329902,0.08110199326255384
COMENITY BANK (1391778),LargeCreditCardBank,m8.8,CV,0.2861530078874154,0.1861269059207235
COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,m8.8,CV,0.23584732158210808,0.17603324358050856
DISCOVER BANK (30810),LargeCreditCardBank,m8.8,CV,0.10977501013098032,0.08200443800136177
"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,m8.8,CV,0.1331848862072796,0.1031893125544627
FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,m8.8,CV,0.20913490519388755,0.15518276956282298
GOLDMAN SACHS BANK USA (2182786),LargeBank,m8.8,CV,0.1358592837615906,0.11617576482927022
"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,m8.8,CV,0.5197694672666756,0.251620764516242
"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,m8.8,CV,0.15484585930070627,0.10756276437719223
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,m8.8,CV,0.12013157481232169,0.08502442659383225
KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,m8.8,CV,0.20215524593868042,0.13343613014022807
MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,m8.8,CV,0.10692558654348518,0.0785880147155495
MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,m8.8,CV,0.4552751622504617,0.3141235334073412
"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,m8.8,CV,0.16621212748560762,0.12159252600281542
REGIONS BANK (233031),LargeBank,m8.8,CV,0.12687377568514713,0.09346737640603046
"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,m8.8,CV,0.36286717850890476,0.20902181752925295
SYNCHRONY BANK (1216022),LargeCreditCardBank,m8.8,CV,0.04241183034882255,0.03393830671322744
"TD BANK, N.A. (497404)",LargeBank,m8.8,CV,0.24642652308904509,0.13340020710191672
TRUIST BANK (852320),LargeBank,m8.8,CV,0.07683815780541287,0.0615511759665674
U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,m8.8,CV,0.10763418088533722,0.06632795754307959
UBS BANK USA (3212149),LargeBank,m8.8,CV,0.17433701215436384,0.13186261774912722
"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,m8.8,CV,0.11114207551749672,0.07314997913083136
