.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-1.8054435693010582,1.8054435693010582,1.8054435693010582,112.1393521305005,112.1393521305005,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.6437182671688496,0.6437182671688496,0.6437182671688496,64.37182671688497,64.37182671688497,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.08793535301716215,0.08793535301716215,0.08793535301716215,-17.58707060343244,17.58707060343244,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.2072959668495201,0.2072959668495201,0.2072959668495201,109.10314044711573,109.10314044711573,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.060099557050407204,0.060099557050407204,0.060099557050407204,-54.635960954915596,54.635960954915596,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.13855338074206316,0.13855338074206316,0.13855338074206316,197.93340106009006,197.93340106009006,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.2384534978411063,0.2384534978411063,0.2384534978411063,-340.647854058723,340.647854058723,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,0.12899783992324987,0.12899783992324987,0.12899783992324987,644.989199616249,644.989199616249,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.1748620877849954,0.1748620877849954,0.1748620877849954,291.43681297499205,291.43681297499205,NA,NA,NA
TSLM(as.formula(market_formula)),75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,Test,-0.026675154335676816,0.026675154335676816,0.026675154335676816,66.68788583919199,66.68788583919199,NA,NA,NA
