.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.07076419298366565,0.07076419298366565,0.07076419298366565,-58.97016081972133,58.97016081972133,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.2210440907451081,0.2210440907451081,0.2210440907451081,442.08818149021585,442.08818149021585,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.08673155658613607,0.08673155658613607,0.08673155658613607,-123.90222369447999,123.90222369447999,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.023547672498689887,0.023547672498689887,0.023547672498689887,13.082040277049941,13.082040277049941,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.06587427336635696,0.06587427336635696,0.06587427336635696,-164.68568341589227,164.68568341589227,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.13935721509616084,0.13935721509616084,0.13935721509616084,199.08173585165815,199.08173585165815,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.03023443515428135,0.03023443515428135,0.03023443515428135,-75.58608788570331,75.58608788570331,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.11001021987443615,0.11001021987443615,0.11001021987443615,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.10097499114155453,0.10097499114155453,0.10097499114155453,336.5833038051815,336.5833038051815,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.014006205343002604,0.014006205343002604,0.014006205343002604,-140.06205343002605,140.06205343002605,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.04837731688430145,0.04837731688430145,0.04837731688430145,53.752574315890456,53.752574315890456,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.028426528779340612,0.028426528779340612,0.028426528779340612,-35.53316097417583,35.53316097417583,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.14871146535015808,0.14871146535015808,0.14871146535015808,185.88933168769793,185.88933168769793,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.02563582141933992,0.02563582141933992,0.02563582141933992,256.3582141933992,256.3582141933992,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.015264685803017687,0.015264685803017687,0.015264685803017687,-76.3234290150884,76.3234290150884,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.06107200676027841,0.06107200676027841,0.06107200676027841,46.97846673867574,46.97846673867574,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.08563380314332375,0.08563380314332375,0.08563380314332375,428.1690157166185,428.1690157166185,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.08891843750267198,0.08891843750267198,0.08891843750267198,80.83494318424734,80.83494318424734,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.04364521224617628,0.04364521224617628,0.04364521224617628,-436.4521224617628,436.4521224617628,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.026253078218146583,0.026253078218146583,0.026253078218146583,32.816347772683294,32.816347772683294,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.03362448137430939,0.03362448137430939,0.03362448137430939,168.12240687154684,168.12240687154684,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.08811371208389454,0.08811371208389454,0.08811371208389454,73.42809340324553,73.42809340324553,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,1.9998243991066478e-4,1.9998243991066478e-4,1.9998243991066478e-4,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.06687372691299046,0.06687372691299046,0.06687372691299046,60.794297193627756,60.794297193627756,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.01295001745154338,0.01295001745154338,0.01295001745154338,32.37504362885843,32.37504362885843,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.06465479574204797,0.06465479574204797,0.06465479574204797,58.777087038225496,58.777087038225496,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.05129986709885123,0.05129986709885123,0.05129986709885123,512.9986709885122,512.9986709885122,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.016740600735402025,0.016740600735402025,0.016740600735402025,27.90100122567002,27.90100122567002,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.00979958918639029,0.00979958918639029,0.00979958918639029,19.59917837278065,19.59917837278065,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.06873358449795987,0.06873358449795987,0.06873358449795987,52.87198807535379,52.87198807535379,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.10361534394229485,0.10361534394229485,0.10361534394229485,129.51917992786846,129.51917992786846,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.010029066070650667,0.010029066070650667,0.010029066070650667,-100.29066070650667,100.29066070650667,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.019431017602838885,0.019431017602838885,0.019431017602838885,-97.15508801419436,97.15508801419436,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.03777385280739615,0.03777385280739615,0.03777385280739615,41.97094756377346,41.97094756377346,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.02490895442076383,0.02490895442076383,0.02490895442076383,83.02984806921272,83.02984806921272,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.006864164359695696,0.006864164359695696,0.006864164359695696,34.32082179847846,34.32082179847846,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.005292069643070357,0.005292069643070357,0.005292069643070357,-3.780049745050252,3.780049745050252,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.059810463961198726,0.059810463961198726,0.059810463961198726,54.37314905563526,54.37314905563526,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.026430340564502816,0.026430340564502816,0.026430340564502816,33.03792570562859,33.03792570562859,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.07464624870459108,0.07464624870459108,0.07464624870459108,-106.63749814941607,106.63749814941607,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.0379977376035196,0.0379977376035196,0.0379977376035196,31.664781336266305,31.664781336266305,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.04280229950406629,0.04280229950406629,0.04280229950406629,428.02299504066764,428.02299504066764,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.11525997398536666,0.11525997398536666,0.11525997398536666,88.66151845028205,88.66151845028205,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.020235846497717314,0.020235846497717314,0.020235846497717314,67.45282165905768,67.45282165905768,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.03259919707178702,0.03259919707178702,0.03259919707178702,54.33199511964498,54.33199511964498,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,-0.016617584113265818,0.016617584113265818,0.016617584113265818,-23.739405876094004,23.739405876094004,NA,NA,NA
TSLM(as.formula(market_formula)),3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,Test,0.047251220457598005,0.047251220457598005,0.047251220457598005,59.06402557199761,59.06402557199761,NA,NA,NA
