.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.2292993564737365,0.2292993564737365,0.2292993564737365,382.1655941228938,382.1655941228938,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.3349362089482891,0.3349362089482891,0.3349362089482891,-108.04393837041584,108.04393837041584,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.24447227054600165,0.24447227054600165,0.24447227054600165,111.12375933909155,111.12375933909155,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.029676221533309066,0.029676221533309066,0.029676221533309066,15.619063964899512,15.619063964899512,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.02180661096256653,0.02180661096256653,0.02180661096256653,7.268870320855514,7.268870320855514,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.3619193477104596,0.3619193477104596,0.3619193477104596,-1206.397825701522,1206.397825701522,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.14586118168316897,0.14586118168316897,0.14586118168316897,162.067979647965,162.067979647965,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.19749418730831297,0.19749418730831297,0.19749418730831297,56.42691065951805,56.42691065951805,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.04504861195784954,0.04504861195784954,0.04504861195784954,-21.451719979928356,21.451719979928356,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.24920771051415158,0.24920771051415158,0.24920771051415158,-311.5096381426892,311.5096381426892,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.0028421420917595017,0.0028421420917595017,0.0028421420917595017,-14.210710458797502,14.210710458797502,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.19812574602354407,0.19812574602354407,0.19812574602354407,60.0381048556194,60.0381048556194,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,0.042259953964122965,0.042259953964122965,0.042259953964122965,16.903981585649184,16.903981585649184,NA,NA,NA
TSLM(as.formula(market_formula)),3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,Test,-0.18039653979943604,0.18039653979943604,0.18039653979943604,-360.79307959887336,360.79307959887336,NA,NA,NA
