.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,-0.1027277129742705,0.1027277129742705,0.1027277129742705,39.51065883625788,39.51065883625788,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.07737788987766463,0.07737788987766463,0.07737788987766463,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.10166047774198533,0.10166047774198533,0.10166047774198533,-127.07559717748155,127.07559717748155,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.07909797480371186,0.07909797480371186,0.07909797480371186,-60.844596002855276,60.844596002855276,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.018310354278074814,0.018310354278074814,0.018310354278074814,-26.157648968678327,26.157648968678327,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.08808673041602871,0.08808673041602871,0.08808673041602871,293.6224347200966,293.6224347200966,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.07474644168153124,0.07474644168153124,0.07474644168153124,-149.49288336306267,149.49288336306267,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.15103942908999113,0.15103942908999113,0.15103942908999113,-503.4647636333034,503.4647636333034,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,-0.012518567119137722,0.012518567119137722,0.012518567119137722,20.864278531896186,20.864278531896186,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.12782103537140632,0.12782103537140632,0.12782103537140632,127.82103537140624,127.82103537140624,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.11205283451013787,0.11205283451013787,0.11205283451013787,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.1003046088108811,0.1003046088108811,0.1003046088108811,-250.7615220272026,250.7615220272026,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.016017363938818585,0.016017363938818585,0.016017363938818585,-160.17363938818585,160.17363938818585,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.06896144533929995,0.06896144533929995,0.06896144533929995,137.9228906785998,137.9228906785998,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.0893508944079411,0.0893508944079411,0.0893508944079411,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.012216490778966457,0.012216490778966457,0.012216490778966457,-12.216490778966447,12.216490778966447,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.016641801466600506,0.016641801466600506,0.016641801466600506,166.41801466600506,166.41801466600506,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.0718418809876675,0.0718418809876675,0.0718418809876675,102.63125855381064,102.63125855381064,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.08814011781000361,0.08814011781000361,0.08814011781000361,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.015176358476581359,0.015176358476581359,0.015176358476581359,-25.293930794302245,25.293930794302245,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.027855976392621655,0.027855976392621655,0.027855976392621655,92.85325464207213,92.85325464207213,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.1345478356194747,0.1345478356194747,0.1345478356194747,84.09239726217167,84.09239726217167,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.09867701880301846,0.09867701880301846,0.09867701880301846,164.4616980050309,164.4616980050309,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.04458046409638485,0.04458046409638485,0.04458046409638485,-111.45116024096235,111.45116024096235,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,-0.056924351930040196,0.056924351930040196,0.056924351930040196,569.243519300402,569.243519300402,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.09755146732975899,0.09755146732975899,0.09755146732975899,88.68315211796272,88.68315211796272,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.11856214643718671,0.11856214643718671,0.11856214643718671,237.12429287437323,237.12429287437323,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.008407501860829614,0.008407501860829614,0.008407501860829614,-28.02500620276536,28.02500620276536,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,-0.05710934158202154,0.05710934158202154,0.05710934158202154,71.38667697752686,71.38667697752686,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.08020411867433806,0.08020411867433806,0.08020411867433806,66.83676556194833,66.83676556194833,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.06842001842031238,0.06842001842031238,0.06842001842031238,684.2001842031239,684.2001842031239,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.0895765483925749,0.0895765483925749,0.0895765483925749,-447.8827419628742,447.8827419628742,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,-0.0391012467333114,0.0391012467333114,0.0391012467333114,130.3374891110379,130.3374891110379,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.06218313075453503,0.06218313075453503,0.06218313075453503,51.81927562877924,51.81927562877924,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.060734698934566275,0.060734698934566275,0.060734698934566275,202.4489964485541,202.4489964485541,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.010891499510159282,0.010891499510159282,0.010891499510159282,-21.782999020318545,21.782999020318545,NA,NA,NA
TSLM(as.formula(market_formula)),30810,DISCOVER BANK (30810),LargeCreditCardBank,Test,0.02183358245038719,0.02183358245038719,0.02183358245038719,-8.086512018661924,8.086512018661924,NA,NA,NA
