.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.7982046713706731,0.7982046713706731,0.7982046713706731,115.68183643053239,115.68183643053239,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-1.0192497120519692,1.0192497120519692,1.0192497120519692,149.88966353705436,149.88966353705436,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.04574601658125543,0.04574601658125543,0.04574601658125543,35.18924352404261,35.18924352404261,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.185685818401423,0.185685818401423,0.185685818401423,97.72937810601213,97.72937810601213,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.15217335565358953,0.15217335565358953,0.15217335565358953,190.21669456698675,190.21669456698675,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.06440825397032932,0.06440825397032932,0.06440825397032932,37.88720821784074,37.88720821784074,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.03562279742371059,0.03562279742371059,0.03562279742371059,-50.88971060530096,50.88971060530096,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.09660872511601618,0.09660872511601618,0.09660872511601618,80.50727093001355,80.50727093001355,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.05632142642352087,0.05632142642352087,0.05632142642352087,-140.8035660588021,140.8035660588021,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.02563700009338135,0.02563700009338135,0.02563700009338135,21.364166744484482,21.364166744484482,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.033250383837299634,0.033250383837299634,0.033250383837299634,55.417306395499345,55.417306395499345,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.0182411447761283,0.0182411447761283,0.0182411447761283,30.40190796021381,30.40190796021381,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.25939591409724094,0.25939591409724094,0.25939591409724094,108.08163087385039,108.08163087385039,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.16317721148159992,0.16317721148159992,0.16317721148159992,67.99050478399997,67.99050478399997,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.002890665894543905,0.002890665894543905,0.002890665894543905,-5.7813317890878055,5.7813317890878055,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.00410509645292681,0.00410509645292681,0.00410509645292681,4.5612182810297845,4.5612182810297845,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.023151990006708312,0.023151990006708312,0.023151990006708312,-38.58665001118048,38.58665001118048,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.048278983384151104,0.048278983384151104,0.048278983384151104,-120.69745846037767,120.69745846037767,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.0509047365779893,0.0509047365779893,0.0509047365779893,39.15748967537638,39.15748967537638,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.07772222697243528,0.07772222697243528,0.07772222697243528,43.179014984686255,43.179014984686255,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,-0.016017906379530426,0.016017906379530426,0.016017906379530426,22.882723399329162,22.882723399329162,NA,NA,NA
TSLM(as.formula(market_formula)),280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,Test,0.0835498784361566,0.0835498784361566,0.0835498784361566,278.49959478718847,278.49959478718847,NA,NA,NA
