.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.03948217644276794,0.03948217644276794,0.03948217644276794,24.67636027672994,24.67636027672994,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.08345253128584573,0.08345253128584573,0.08345253128584573,-43.922384887287244,43.922384887287244,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.06817247011761132,0.06817247011761132,0.06817247011761132,-61.97497283419218,61.97497283419218,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.05384842949067534,0.05384842949067534,0.05384842949067534,22.436845621114703,22.436845621114703,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.09600800034410083,0.09600800034410083,0.09600800034410083,50.53052649689519,50.53052649689519,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.02472973936375311,0.02472973936375311,0.02472973936375311,-13.015652296712139,13.015652296712139,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.0883345250587349,0.0883345250587349,0.0883345250587349,-80.30411368975876,80.30411368975876,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.07270340649830859,0.07270340649830859,0.07270340649830859,26.92718759196614,26.92718759196614,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.020292358714069925,0.020292358714069925,0.020292358714069925,-18.447598830972606,18.447598830972606,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.09460653987404011,0.09460653987404011,0.09460653987404011,49.792915723179014,49.792915723179014,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.026607356628904566,0.026607356628904566,0.026607356628904566,-16.62959789306534,16.62959789306534,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.012483102059086981,0.012483102059086981,0.012483102059086981,-4.9932408236347925,4.9932408236347925,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.09327926185786364,0.09327926185786364,0.09327926185786364,103.64362428651532,103.64362428651532,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.0685880255023391,0.0685880255023391,0.0685880255023391,-68.58802550233905,68.58802550233905,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.07165915894097491,0.07165915894097491,0.07165915894097491,-35.8295794704875,35.8295794704875,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.0879146083274524,0.0879146083274524,0.0879146083274524,35.16584333098096,35.16584333098096,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.10298193938454354,0.10298193938454354,0.10298193938454354,46.80997244751984,46.80997244751984,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.1446506239713663,0.1446506239713663,0.1446506239713663,80.3614577618701,80.3614577618701,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,-0.031091363989302033,0.031091363989302033,0.031091363989302033,155.45681994651008,155.45681994651008,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.07426887132059506,0.07426887132059506,0.07426887132059506,23.957700425998404,23.957700425998404,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.0527949397186956,0.0527949397186956,0.0527949397186956,-87.99156619782592,87.99156619782592,NA,NA,NA
TSLM(as.formula(market_formula)),1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,Test,0.10360484866320174,0.10360484866320174,0.10360484866320174,-54.52886771747462,54.52886771747462,NA,NA,NA
