.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.13716622345320661,0.13716622345320661,0.13716622345320661,72.19274918589824,72.19274918589824,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.011139757641404943,0.011139757641404943,0.011139757641404943,11.139757641404957,11.139757641404957,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.26545293791582597,0.26545293791582597,0.26545293791582597,884.8431263860859,884.8431263860859,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.049390995271778704,0.049390995271778704,0.049390995271778704,-15.932579119928612,15.932579119928612,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.4972150542976649,0.4972150542976649,0.4972150542976649,497.21505429766546,497.21505429766546,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.33220462408190166,0.33220462408190166,0.33220462408190166,-166.10231204095086,166.10231204095086,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.2655621552361467,0.2655621552361467,0.2655621552361467,379.3745074802092,379.3745074802092,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.12141438475108768,0.12141438475108768,0.12141438475108768,52.78886293525551,52.78886293525551,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.13285633774948824,0.13285633774948824,0.13285633774948824,221.4272295824802,221.4272295824802,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.11166611049683756,0.11166611049683756,0.11166611049683756,-65.68594735108086,65.68594735108086,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.06701243197648316,0.06701243197648316,0.06701243197648316,-74.45825775164808,74.45825775164808,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.096457212793018,0.096457212793018,0.096457212793018,-87.6883752663801,87.6883752663801,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.0023420977777638755,0.0023420977777638755,0.0023420977777638755,11.71048888881937,11.71048888881937,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.17080778028618349,0.17080778028618349,0.17080778028618349,-189.78642254020417,189.78642254020417,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.055834293715263245,0.055834293715263245,0.055834293715263245,-79.76327673609028,79.76327673609028,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.2029513464031113,0.2029513464031113,0.2029513464031113,78.0582101550428,78.0582101550428,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.024704914386534764,0.024704914386534764,0.024704914386534764,-247.04914386534762,247.04914386534762,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.29032922907092273,0.29032922907092273,0.29032922907092273,-290.3292290709225,290.3292290709225,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,0.12992087962551901,0.12992087962551901,0.12992087962551901,129.92087962551918,129.92087962551918,NA,NA,NA
TSLM(as.formula(market_formula)),497404,"TD BANK, N.A. (497404)",LargeBank,Test,-0.047088869220589094,0.047088869220589094,0.047088869220589094,58.86108652573648,58.86108652573648,NA,NA,NA
