.model,IDRSSD,BankName,BankType,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.686290314897773,0.686290314897773,0.686290314897773,155.9750715676757,155.9750715676757,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.42906007454776524,0.42906007454776524,0.42906007454776524,115.96218231020679,115.96218231020679,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.14815810854383388,0.14815810854383388,0.14815810854383388,1481.5810854383387,1481.5810854383387,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.2472948679290573,0.2472948679290573,0.2472948679290573,56.20337907478573,56.20337907478573,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.06469467083262254,0.06469467083262254,0.06469467083262254,30.806986110772645,30.806986110772645,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.025694811959380837,0.025694811959380837,0.025694811959380837,8.02962873730651,8.02962873730651,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.4882456324289467,0.4882456324289467,0.4882456324289467,77.49930673475346,77.49930673475346,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-1.4919471490284786,1.4919471490284786,1.4919471490284786,100.13068114285093,100.13068114285093,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.029077553364329337,0.029077553364329337,0.029077553364329337,-Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.1121092581313532,0.1121092581313532,0.1121092581313532,-140.13657266419136,140.13657266419136,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.11521775261221767,0.11521775261221767,0.11521775261221767,576.088763061088,576.088763061088,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.12862705655491113,0.12862705655491113,0.12862705655491113,-257.2541131098221,257.2541131098221,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.010504067893814348,0.010504067893814348,0.010504067893814348,Inf,Inf,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.1083457588923348,0.1083457588923348,0.1083457588923348,-180.57626482055784,180.57626482055784,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.05081258480489879,0.05081258480489879,0.05081258480489879,-254.0629240244952,254.0629240244952,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.115670160699015,0.115670160699015,0.115670160699015,64.26120038834169,64.26120038834169,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.05630019259737876,0.05630019259737876,0.05630019259737876,563.0019259737876,563.0019259737876,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.16830786470272174,0.16830786470272174,0.16830786470272174,-168.3078647027218,168.3078647027218,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,0.028737329622738013,0.028737329622738013,0.028737329622738013,-287.3732962273801,287.3732962273801,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.05616407233503305,0.05616407233503305,0.05616407233503305,56.16407233503307,56.16407233503307,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.09786516518580372,0.09786516518580372,0.09786516518580372,978.6516518580372,978.6516518580372,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.12966485113127268,0.12966485113127268,0.12966485113127268,-144.07205681252526,144.07205681252526,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.04805250300192911,0.04805250300192911,0.04805250300192911,-120.1312575048227,120.1312575048227,NA,NA,NA
TSLM(as.formula(market_formula)),852320,TRUIST BANK (852320),LargeBank,Test,-0.06376470846973753,0.06376470846973753,0.06376470846973753,63.76470846973754,63.76470846973754,NA,NA,NA
