BankName,BankType,.model,.type,RMSE,MAE
AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,tslm,CV,0.11696292865578545,0.08583639759724947
"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,tslm,CV,0.07761413894755714,0.05782823785961571
BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,tslm,CV,0.12528832961609793,0.09679501909051305
BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,tslm,CV,0.3122871292947809,0.16443990985185983
"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,tslm,CV,0.12360824098395917,0.10477494315259349
"CITIBANK, N.A. (476810)",LargeBank,tslm,CV,0.1995527736329694,0.12844670018621268
"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,tslm,CV,0.08931919726632184,0.06816295894112907
COMENITY BANK (1391778),LargeCreditCardBank,tslm,CV,0.2352227713905267,0.18480021935732593
COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,tslm,CV,0.18080214927045793,0.14169321875282598
DISCOVER BANK (30810),LargeCreditCardBank,tslm,CV,0.11866426091969637,0.09498389001761295
"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,tslm,CV,0.12153114804258744,0.09133842048321955
FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,tslm,CV,0.14241709030851077,0.11361618492458814
GOLDMAN SACHS BANK USA (2182786),LargeBank,tslm,CV,0.13995258342266254,0.11631034102822015
"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,tslm,CV,0.22288541125532677,0.16381174597400144
"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,CV,0.165335466935318,0.1267315483755339
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,tslm,CV,0.09306311902059153,0.07153909264588271
KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,tslm,CV,0.1867812285480534,0.1158252851681505
MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,tslm,CV,0.11069084178627449,0.08217632248487937
MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,tslm,CV,0.42225330306446535,0.33839819286230405
"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,tslm,CV,0.15694279268215974,0.10189079070290047
REGIONS BANK (233031),LargeBank,tslm,CV,0.1155533619815934,0.0874012703769836
"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,tslm,CV,0.3182202787334364,0.17354292652349054
SYNCHRONY BANK (1216022),LargeCreditCardBank,tslm,CV,0.10881026014829319,0.08957310571726383
"TD BANK, N.A. (497404)",LargeBank,tslm,CV,0.10088203099414086,0.08079387039732173
TRUIST BANK (852320),LargeBank,tslm,CV,0.11519920711167425,0.06680038622239307
U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,tslm,CV,0.07098746079191842,0.050447605972390404
UBS BANK USA (3212149),LargeBank,tslm,CV,0.18211445548247435,0.13293543254792897
"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,tslm,CV,0.06121288464368987,0.050114073930798676
