Feature,Gain,Cover,Frequency
BankNameMERRICK BANK CORPORATION (2615190),0.07697646031180967,0.025169128959514425,0.03861003861003861
TDSP.log.diff,0.07207814626862073,0.03628105966406036,0.014157014157014158
UBPRE263.log.diff,0.06496135891056062,0.07492781723534743,0.05662805662805663
UBPR3815.log.diff,0.06160430065182468,0.07618706400556387,0.06177606177606178
Qtr3,0.046319583497542456,0.024684397985205168,0.010296010296010296
UBPRB538.log.diff,0.03676571402945685,0.038636219941410775,0.04504504504504504
UBPRE263.log.diff.lag1,0.036344453747352394,0.026091171573689644,0.036036036036036036
B069RC1.Pop.CPI.log.diff.lag1,0.03509883715178948,0.021259668275411495,0.01673101673101673
UBPRB538.log.diff.lag2,0.028889376517157554,0.03307762018166874,0.03088803088803089
UBPRB538.log.diff.lag3,0.028052585904697138,0.04750363548230732,0.03861003861003861
UBPRE425.log.diff.lag4,0.02640977026875816,0.04360471242808068,0.03732303732303732
UBPRE263.log.diff.lag4,0.025603773085151164,0.042935572930936375,0.03732303732303732
UBPRE425.log.diff.lag1,0.02447094846380387,0.021022571603195008,0.028314028314028315
UBPR3815.log.diff.lag3,0.023694782968032433,0.03973213344854475,0.028314028314028315
CDSP.log.diff,0.02234408604267868,0.014989778499020001,0.007722007722007722
UBPRE263.log.diff.lag2,0.02146726675669598,0.03710299479441084,0.039897039897039896
UBPRE425.log.diff,0.020220508726398707,0.02437880671879281,0.03346203346203346
UBPRB538.log.diff.lag1,0.018434489852900415,0.03648127463170984,0.03088803088803089
UBPRE425.log.diff.lag3,0.016750635715370398,0.013519779131277793,0.019305019305019305
RRSFS.Pop.log.diff,0.015660561747715674,0.010727307214061413,0.009009009009009009
UBPRE425.log.diff.lag2,0.015589514395469996,0.012840102004257203,0.019305019305019305
B069RC1.Pop.CPI.log.diff.lag3,0.014411489211732001,0.003092794368690594,0.005148005148005148
UBPR3815.log.diff.lag2,0.014367351626255779,0.020105797803957933,0.02059202059202059
UBPRE263.log.diff.lag3,0.013954706518953407,0.03703450020021497,0.028314028314028315
UBPRB538.log.diff.lag4,0.013157133427393638,0.028704503783009126,0.023166023166023165
BankNameCOMENITY BANK (1391778),0.011522682407412622,0.002929461105608127,0.009009009009009009
UNRATE.log.diff.lag4,0.010186758330272678,0.01208139265316445,0.011583011583011582
TDSP.log.diff.lag1,0.009200050009409842,0.012012898058968578,0.006435006435006435
PSAVERT.log.diff,0.009077147732743972,0.008477523235473877,0.007722007722007722
BankTypeLargeCreditCardBank,0.008753862918660905,0.0034879554890514027,0.007722007722007722
"BankNameTD BANK, N.A. (497404)",0.008609983298767323,0.0018440852283504393,0.007722007722007722
UNRATE.log.diff,0.008597540774348763,0.007961179371535754,0.011583011583011582
UNRATE.log.diff.lag3,0.007884776157006668,0.0033825791902885203,0.006435006435006435
"BankNameSANTANDER BANK, NATIONAL ASSOCIATION (722777)",0.0076653884781727275,0.0012487091403401546,0.005148005148005148
UBPR3815.log.diff.lag1,0.007452961399955548,0.013693650024236548,0.01673101673101673
B069RC1.Pop.CPI.log.diff.lag2,0.007026814587666262,0.0019810744167421865,0.005148005148005148
CSCICP03USM665S.log.diff.lag2,0.0069446894974332886,0.0017808594490927102,0.005148005148005148
PSAVERT.log.diff.lag1,0.006474434837712412,0.0037566650508967523,0.006435006435006435
TDSP.log.diff.lag4,0.005849989049303177,0.009815802229762482,0.009009009009009009
A229RC0.CPI.log.diff.lag4,0.005271206344787309,0.005669244873443065,0.003861003861003861
PCEDG.Pop.CPI.log.diff,0.005196362646418499,0.0027608590275875152,0.005148005148005148
PCE.Pop.CPI.log.diff.lag1,0.005194641636176014,0.0051529010095049425,0.006435006435006435
B069RC1.Pop.CPI.log.diff,0.005076940353698831,0.00608548125355645,0.007722007722007722
UNRATE.log.diff.lag2,0.004830050361738049,8.324727602267698e-4,0.003861003861003861
BankNameFIRST-CITIZENS BANK & TRUST COMPANY (491224),0.004653655986386385,5.005374191236907e-4,0.007722007722007722
UNRATE.log.diff.lag1,0.004427978078388596,0.0036776328268245907,0.006435006435006435
UBPR3815.log.diff.lag4,0.004348791676417102,0.011422790785896437,0.010296010296010296
PCEDG.Pop.CPI.log.diff.lag1,0.004085263881209525,0.003835697274968914,0.005148005148005148
TDSP.log.diff.lag3,0.0038817892198750406,0.002339353832535986,0.001287001287001287
A229RC0.CPI.log.diff,0.003467845762198558,0.004715589369638981,0.006435006435006435
BankNameBMO HARRIS BANK NATIONAL ASSOCIATION (75633),0.003280889319207991,0.0053583847920925624,0.005148005148005148
PSAVERT.log.diff.lag4,0.0032486719441962215,0.00834053404708213,0.005148005148005148
BankNameCOMENITY CAPITAL BANK (3224580),0.0029444042932926236,0.0012487091403401546,0.002574002574002574
B069RC1.Pop.CPI.log.diff.lag4,0.002891867292018975,5.584943834432759e-4,0.003861003861003861
PSAVERT.log.diff.lag3,0.0028792178667367044,0.004283546544711163,0.005148005148005148
A229RC0.CPI.log.diff.lag1,0.0027020677021443603,0.0028767729562266856,0.002574002574002574
PSAVE.log.diff.lag1,0.0026437479166386535,0.004093869206937975,0.005148005148005148
RRSFS.Pop.log.diff.lag4,0.0025864547263970764,0.002054837825876204,0.003861003861003861
CSCICP03USM665S.log.diff,0.0025386701177452335,0.005658707243566777,0.006435006435006435
A229RC0.CPI.log.diff.lag2,0.0024280518680472813,0.001728171299711269,0.003861003861003861
CSCICP03USM665S.log.diff.lag1,0.0022471811260731814,0.002376235537102995,0.005148005148005148
RRSFS.Pop.log.diff.lag3,0.002198688024326109,5.795696431958524e-5,0.001287001287001287
PCE.Pop.CPI.log.diff,0.001998011902808726,0.0035933317878142847,0.003861003861003861
CDSP.log.diff.lag4,0.0019862582570304254,2.476343020927733e-4,0.002574002574002574
RRSFS.Pop.log.diff.lag2,0.0019448572043846261,0.01118569411367995,0.005148005148005148
PSAVERT.log.diff.lag2,0.0019202594124041563,0.002745052582773083,0.003861003861003861
PSAVE.log.diff.lag4,0.0018448014968688424,4.899997892474024e-4,0.001287001287001287
CDSP.log.diff.lag1,0.0016882988679347627,0.0032930093363400703,0.003861003861003861
"BankNameBANK OF AMERICA, NATIONAL ASSOCIATION (480228)",0.0016260433787669887,3.688170456700879e-5,0.001287001287001287
PCEDG.Pop.CPI.log.diff.lag4,0.001571337082046148,0.002660751543762777,0.002574002574002574
PSAVE.log.diff,0.0014833305025819148,0.004251933655082299,0.002574002574002574
"BankNameCITIZENS BANK, NATIONAL ASSOCIATION (3303298)",0.0013609910342287975,6.322577925772935e-5,0.002574002574002574
"BankNameHSBC BANK USA, NATIONAL ASSOCIATION (413208)",0.0012961126653426617,0.0026344074690720564,0.002574002574002574
RRSFS.Pop.log.diff.lag1,0.0012851016797746986,3.1612889628864676e-4,0.002574002574002574
CSCICP03USM665S.log.diff.lag3,0.0012651407291309113,2.3709667221648507e-4,0.002574002574002574
A229RC0.CPI.log.diff.lag3,0.001050221507864985,0.0013224725494741722,0.002574002574002574
CSCICP03USM665S.log.diff.lag4,8.975199704866895e-4,0.003893654239288499,0.002574002574002574
PCE.Pop.CPI.log.diff.lag4,8.528328639091441e-4,2.0021496764947627e-4,0.001287001287001287
CDSP.log.diff.lag3,6.497738233845983e-4,6.322577925772935e-5,0.001287001287001287
"BankNameHUNTINGTON NATIONAL BANK, THE (12311)",6.292899260623498e-4,1.9494615271133217e-4,0.001287001287001287
PCE.Pop.CPI.log.diff.lag3,6.132857962559396e-4,4.478492697422496e-4,0.001287001287001287
BankNameKEYBANK NATIONAL ASSOCIATION (280110),6.036444216424402e-4,2.634407469072056e-4,0.001287001287001287
TDSP.log.diff.lag2,5.699790964921453e-4,0.0011380640266391282,0.001287001287001287
"BankNameCAPITAL ONE, NATIONAL ASSOCIATION (112837)",5.477963738250681e-4,1.580644481443234e-5,0.001287001287001287
BankNameUBS BANK USA (3212149),4.157585856666045e-4,5.321503087525554e-4,0.001287001287001287
