Feature,Gain,Cover,Frequency
UNRATE.log.diff.lag2,0.11039181719192787,0.09877291460753782,0.08381171067738231
UBPRE425.log.diff,0.10427714348099504,0.1847528112936613,0.13203214695752008
UBPRE425.log.diff.lag4,0.09484350830901844,0.0951457397012476,0.10218140068886337
UBPRE425.log.diff.lag3,0.08270841585163226,0.06809577979598307,0.08955223880597014
UBPRE425.log.diff.lag1,0.07899167664374568,0.11512783693564328,0.09414466130884042
Qtr3,0.06930769126149666,0.04818361523972922,0.024110218140068886
UNRATE.log.diff.lag4,0.06126355998436451,0.04798780374093206,0.05625717566016074
BankTypeLargeCreditCardBank,0.06080464939424037,0.013711467094343845,0.04247990815154994
UNRATE.log.diff.lag3,0.05735212235806668,0.05050071797549559,0.0574052812858783
BankNameMERRICK BANK CORPORATION (2615190),0.05554884369421134,0.03564701713816832,0.04822043628013777
UBPRE425.log.diff.lag2,0.054064288170436806,0.06143352665833691,0.0711825487944891
UNRATE.log.diff.lag1,0.033038490550816334,0.045941107360647486,0.045924225028702644
UNRATE.log.diff,0.031367563345468225,0.03881263636872238,0.03329506314580941
BankNameCOMENITY BANK (1391778),0.030183034840447785,0.019851556235197583,0.024110218140068886
"BankNameSANTANDER BANK, NATIONAL ASSOCIATION (722777)",0.01919665922769863,0.010676388862987897,0.01951779563719862
Qtr2,0.013528410781620107,0.011655446356973687,0.018369690011481057
Qtr4,0.00745731939612184,0.006508401245734106,0.006888633754305396
BankNameCOMENITY CAPITAL BANK (3224580),0.00685158434441641,0.009105234694067843,0.009184845005740528
"BankNameFIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",0.004290204569355969,0.0028112936613020533,0.002296211251435132
BankNameUBS BANK USA (3212149),0.004094908652606766,0.002102642522798053,0.004592422502870264
"BankNameHSBC BANK USA, NATIONAL ASSOCIATION (413208)",0.003396728259721383,0.014466740018275739,0.009184845005740528
BankNameTRUIST BANK (852320),0.003067561446191544,1.8182496316878952e-4,0.003444316877152698
"BankNameCITIBANK, N.A. (476810)",0.0025170115401453503,0.005025828469127054,0.004592422502870264
"BankNameCAPITAL ONE, NATIONAL ASSOCIATION (112837)",0.0022875319468175386,1.86487141711579e-5,0.001148105625717566
BankNameKEYBANK NATIONAL ASSOCIATION (280110),0.002200312525267415,0.005072450254554948,0.004592422502870264
BankNameBMO HARRIS BANK NATIONAL ASSOCIATION (75633),0.0017911526342527407,0.004373123473136527,0.003444316877152698
BankNameU.S. BANK NATIONAL ASSOCIATION (504713),0.0014181125135977472,1.3986535628368424e-5,0.001148105625717566
BankNameBARCLAYS BANK DELAWARE (2980209),0.0011327054825088518,1.86487141711579e-5,0.001148105625717566
BankNameSYNCHRONY BANK (1216022),9.496893516012105e-4,0.0010583145292132107,0.002296211251435132
"BankNameJPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",8.167762446563097e-4,3.263524979952632e-5,0.001148105625717566
"BankNamePNC BANK, NATIONAL ASSOCIATION (817824)",6.669579180696581e-4,3.2169031945247377e-4,0.001148105625717566
BankNameGOLDMAN SACHS BANK USA (2182786),1.9356808848255256e-4,0.0025921712697909477,0.001148105625717566
