Feature,Gain,Cover,Frequency
UBPRE524.group.log.diff,0.25878101819195026,0.13321423512190514,0.08116883116883117
UBPR3815.log.diff,0.04133031293203516,0.06029150205405065,0.04707792207792208
BankNameMERRICK BANK CORPORATION (2615190),0.040937768999182514,0.022161711236680152,0.025974025974025976
UBPRB538.log.diff.lag1,0.04036078423502275,0.03709096060315112,0.030844155844155844
UBPRB538.log.diff,0.038317843628714765,0.056088961641981336,0.04707792207792208
UBPRE524.all.log.diff,0.03619051646791932,0.02072938472919585,0.01461038961038961
UBPRE425.log.diff.lag1,0.03365180370623508,0.03314025781877135,0.04220779220779221
UBPRE263.log.diff.lag1,0.03316440868624137,0.046456172382856153,0.04383116883116883
UBPRB538.log.diff.lag3,0.031095944904209947,0.04305636440904727,0.037337662337662336
UBPRE425.log.diff,0.024414903973646457,0.03565076416980152,0.04383116883116883
UBPRE425.log.diff.lag2,0.021784665575165736,0.03927093006783876,0.030844155844155844
UBPR3815.log.diff.lag3,0.020495763565330945,0.029197424960256874,0.02922077922077922
UBPRE263.log.diff,0.019852973755235936,0.03428926699510491,0.025974025974025976
UBPR3815.log.diff.lag1,0.019617798763862646,0.01783325201076606,0.022727272727272728
UBPRB538.log.diff.lag2,0.019514025736772685,0.036713204161616796,0.03571428571428571
UBPRB538.log.diff.lag4,0.01808325416930115,0.02159507657437867,0.024350649350649352
UBPRE263.log.diff.lag2,0.01685839424231049,0.0338092015173217,0.025974025974025976
UBPRE263.log.diff.lag4,0.016112468030686198,0.028386822596131144,0.027597402597402596
B069RC1.Pop.CPI.log.diff.lag1,0.015712751347826615,0.005886704547243165,0.00974025974025974
B069RC1.Pop.CPI.log.diff,0.0152923810626428,0.01831331748854926,0.016233766233766232
UBPRE425.log.diff.lag3,0.01366558085437991,0.008326381565485654,0.017857142857142856
UBPRE524.group.log.diff.lag4,0.01271105264714092,0.006036233138683834,0.00487012987012987
UBPRE425.log.diff.lag4,0.012583174313514937,0.0073032912029968675,0.024350649350649352
UBPR3815.log.diff.lag2,0.012465242489099563,0.019234098814789165,0.01948051948051948
"BankNameSANTANDER BANK, NATIONAL ASSOCIATION (722777)",0.012021571861430004,0.005619127067823021,0.008116883116883116
UBPRE263.log.diff.lag3,0.010324579094052894,0.007948625123951333,0.01461038961038961
TDSP.log.diff,0.010012280588843509,0.009735098295374058,0.008116883116883116
CDSP.log.diff.lag2,0.008175302124563287,0.012403003163710197,0.00974025974025974
UNRATE.log.diff.lag1,0.007983343449345533,0.00748429949789873,0.00487012987012987
UNRATE.log.diff,0.007819993135260649,0.01492137944060567,0.00974025974025974
B069RC1.Pop.CPI.log.diff.lag4,0.0073534437765043065,0.001015220436623487,0.00487012987012987
UBPR3815.log.diff.lag4,0.007168335712638392,0.008153243196449089,0.01461038961038961
UBPRE524.group.log.diff.lag2,0.0071556567636715685,0.011521571466796783,0.00974025974025974
UBPRE524.all.log.diff.lag4,0.006987671019723013,0.007618088237608802,0.00487012987012987
Qtr3,0.006653985874584675,0.003604426046306644,0.0016233766233766235
CSCICP03USM665S.log.diff.lag1,0.006380613732158316,0.007500039349629326,0.00974025974025974
PCE.Pop.CPI.log.diff.lag4,0.005629285385367711,0.008326381565485654,0.00487012987012987
UBPRE524.all.log.diff.lag2,0.0052837274030752565,0.0033053688634253064,0.00487012987012987
PSAVERT.log.diff.lag2,0.005171391303089234,0.0014244565816190012,0.003246753246753247
CDSP.log.diff.lag1,0.005171374086652797,0.0024554168699730847,0.00487012987012987
UBPRE524.all.log.diff.lag3,0.004374592052144858,0.003832653896400296,0.006493506493506494
CSCICP03USM665S.log.diff.lag2,0.004168827325254903,0.0035729463428454504,0.008116883116883116
UBPRE524.group.log.diff.lag3,0.0036038890929635196,0.006736656540695387,0.00487012987012987
PSAVERT.log.diff,0.0035942111601613234,0.003612295972171942,0.00487012987012987
UNRATE.log.diff.lag2,0.002997349637548086,0.006453339209544646,0.006493506493506494
B069RC1.Pop.CPI.log.diff.lag2,0.0029600502280083124,8.106023641257299e-4,0.003246753246753247
BankTypeLargeCreditCardBank,0.0028070477573967434,9.601309555663986e-4,0.003246753246753247
UNRATE.log.diff.lag3,0.0026148723463736284,0.003864133599861489,0.00487012987012987
CDSP.log.diff.lag4,0.002531459094426048,0.0029669620512174774,0.00487012987012987
CSCICP03USM665S.log.diff,0.0025058477322893063,5.508948105708844e-4,0.00487012987012987
PSAVERT.log.diff.lag3,0.0024389375824285823,0.005477468402247651,0.00487012987012987
PCE.Pop.CPI.log.diff.lag2,0.002413470264476693,0.0038405238222655944,0.006493506493506494
BankNameCOMENITY CAPITAL BANK (3224580),0.0020066089517896822,0.0032581493082335165,0.0016233766233766235
A229RC0.CPI.log.diff.lag2,0.0019459577417485947,0.0034155478255394832,0.003246753246753247
PCE.Pop.CPI.log.diff.lag1,0.0019412982088739131,0.0036201658980372403,0.003246753246753247
BankNameBARCLAYS BANK DELAWARE (2980209),0.0018817698930759647,1.1804888797947523e-4,0.006493506493506494
PCEDG.Pop.CPI.log.diff.lag3,0.001774320391631848,0.006201501581855099,0.003246753246753247
UBPRE524.group.log.diff.lag1,0.001747959158041426,2.754474052854422e-4,0.00487012987012987
TDSP.log.diff.lag3,0.0016231706008745894,0.003997922339571561,0.00487012987012987
RRSFS.Pop.log.diff.lag1,0.0015886378726701687,0.0051862811452316115,0.003246753246753247
PCEDG.Pop.CPI.log.diff.lag2,0.001482064496546934,0.0012355783608518408,0.003246753246753247
CSCICP03USM665S.log.diff.lag4,0.0012621371464568007,1.259188138447736e-4,0.0016233766233766235
UBPRE524.all.log.diff.lag1,0.0011486615096724172,0.003132230494388743,0.003246753246753247
PCEDG.Pop.CPI.log.diff.lag1,9.788021392052202e-4,5.745045881667795e-4,0.003246753246753247
CSCICP03USM665S.log.diff.lag3,9.468481462383868e-4,6.53203846819763e-4,0.0016233766233766235
PCEDG.Pop.CPI.log.diff,9.178725011282063e-4,1.1017896211417689e-4,0.0016233766233766235
RRSFS.Pop.log.diff.lag4,8.979731700136339e-4,4.0136621913021577e-4,0.003246753246753247
RRSFS.Pop.log.diff,8.094467320912686e-4,1.1017896211417689e-4,0.0016233766233766235
Qtr2,8.011846598922401e-4,0.002353107833724206,0.0016233766233766235
"BankNameHUNTINGTON NATIONAL BANK, THE (12311)",7.451020225533279e-4,1.0230903624887853e-4,0.00487012987012987
PCEDG.Pop.CPI.log.diff.lag4,7.397287727414824e-4,1.8887822076716037e-4,0.0016233766233766235
UNRATE.log.diff.lag4,7.396757843760055e-4,0.002935482347756284,0.003246753246753247
CDSP.log.diff,7.127291919467409e-4,4.564557001873042e-4,0.003246753246753247
"BankNameFIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",7.108628345901504e-4,5.5089481057088445e-5,0.0016233766233766235
B069RC1.Pop.CPI.log.diff.lag3,7.009371763970063e-4,0.0028095635339115107,0.0016233766233766235
BankNameBMO HARRIS BANK NATIONAL ASSOCIATION (75633),5.340319073051476e-4,0.001849432578345112,0.0016233766233766235
PCE.Pop.CPI.log.diff,4.992863648169975e-4,0.0031007507909275494,0.0016233766233766235
PSAVERT.log.diff.lag1,4.354838773799389e-4,0.0033368485668865,0.0016233766233766235
"BankNameCAPITAL ONE, NATIONAL ASSOCIATION (112837)",3.750357734653682e-4,1.0230903624887853e-4,0.00487012987012987
TDSP.log.diff.lag4,2.7023525988418667e-4,2.6757747942014385e-4,0.0016233766233766235
BankNameU.S. BANK NATIONAL ASSOCIATION (504713),1.837877544849686e-4,5.5089481057088445e-5,0.0016233766233766235
BankNameCOMENITY BANK (1391778),1.6042887611534165e-4,2.3609777595895047e-5,0.0016233766233766235
"BankNameWELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",8.44961657994394e-5,5.5089481057088445e-5,0.0016233766233766235
BankNameUBS BANK USA (3212149),4.54532094829897e-5,2.3609777595895047e-5,0.0016233766233766235
"BankNameTD BANK, N.A. (497404)",9.575016771053204e-6,3.14797034611934e-5,0.0016233766233766235
"BankNameHSBC BANK USA, NATIONAL ASSOCIATION (413208)",4.948290772470107e-7,4.7219555191790094e-5,0.0016233766233766235
