Feature,Gain,Cover,Frequency
TDSP.log.diff,0.06107661169023795,0.02390695347673837,0.014138817480719794
UBPR3815.log.diff,0.05850215897035697,0.07013006503251626,0.05398457583547558
UBPRE263.log.diff,0.05710399637703824,0.07412206103051526,0.061696658097686374
BankNameMERRICK BANK CORPORATION (2615190),0.03884515262274835,0.01748874437218609,0.021850899742930592
UBPRE263.log.diff.lag1,0.03423357925051437,0.05104552276138069,0.038560411311053984
UBPRE263.log.diff.lag2,0.03378723327645569,0.03763381690845423,0.03984575835475578
UBPR3815.log.diff.lag1,0.03254286846245333,0.0303751875937969,0.03598971722365039
UBPR3815.log.diff.lag2,0.032203586296846325,0.04853426713356678,0.042416452442159386
UBPRB538.log.diff,0.029998335655000784,0.0520360180090045,0.042416452442159386
UBPRB538.log.diff.lag1,0.02980518852909829,0.04153576788394197,0.04113110539845758
UBPRE425.log.diff.lag1,0.02955927895139209,0.026268134067033516,0.028277634961439587
Qtr3,0.028345769047081557,0.015407703851925964,0.008997429305912597
UBPRB538.log.diff.lag2,0.0280766858403176,0.027488744372186093,0.02570694087403599
UBPRB538.log.diff.lag3,0.02724750748817418,0.04001500750375188,0.028277634961439587
UBPRE425.log.diff.lag3,0.021879992801566488,0.010170085042521261,0.02699228791773779
PCE.Pop.CPI.log.diff.lag4,0.021004505597710717,0.009084542271135568,0.010282776349614395
UBPRE263.log.diff.lag3,0.020146731691868865,0.02941470735367684,0.032133676092544985
UBPRB538.log.diff.lag4,0.01943594041531873,0.02714857428714357,0.028277634961439587
UBPR3815.log.diff.lag3,0.018929483122863505,0.025447723861930966,0.02313624678663239
UBPRE263.log.diff.lag4,0.017498154613869072,0.02795897948974487,0.02699228791773779
PSAVERT.log.diff.lag4,0.017055662523714727,0.013861930965482742,0.010282776349614395
PSAVERT.log.diff.lag2,0.016446438966886717,0.013796898449224613,0.014138817480719794
PCEDG.Pop.CPI.log.diff.lag4,0.016047260028997434,0.003941970985492747,0.0038560411311053984
BankTypeLargeCreditCardBank,0.015672653242984804,0.005242621310655327,0.010282776349614395
UBPRE425.log.diff,0.013939780170395074,0.019464732366183093,0.02056555269922879
RRSFS.Pop.log.diff,0.01339545019133768,0.005697848924462231,0.008997429305912597
PSAVERT.log.diff,0.013295307481609049,0.01342671335667834,0.011568123393316195
UBPRE425.log.diff.lag4,0.01313029503256694,0.023306653326663332,0.02313624678663239
CSCICP03USM665S.log.diff,0.012631639537390221,0.005302651325662831,0.011568123393316195
UBPRE425.log.diff.lag2,0.012138473509149404,0.007468734367183592,0.02056555269922879
B069RC1.Pop.CPI.log.diff,0.011055230840419735,0.009304652326163081,0.012853470437017995
B069RC1.Pop.CPI.log.diff.lag4,0.01028622936242999,0.0020210105052526264,0.007712082262210797
CDSP.log.diff,0.010215543701753664,0.009624812406203102,0.005141388174807198
UNRATE.log.diff.lag1,0.009621179449876395,0.006163081540770385,0.008997429305912597
PSAVERT.log.diff.lag1,0.00884721096446974,0.0038469234617308653,0.008997429305912597
PCE.Pop.CPI.log.diff.lag3,0.00839267912910085,0.003311655827913957,0.0038560411311053984
B069RC1.Pop.CPI.log.diff.lag3,0.0082538234271558545,0.00224112056028014,0.0038560411311053984
B069RC1.Pop.CPI.log.diff.lag2,0.00815446738651285,0.0030515257628814406,0.007712082262210797
CSCICP03USM665S.log.diff.lag4,0.007713775099872592,0.008279139569784892,0.007712082262210797
TDSP.log.diff.lag3,0.00768933273515148,0.008774387193596798,0.006426735218508998
TDSP.log.diff.lag4,0.007136767893510868,0.0031915957978989494,0.0012853470437017994
CSCICP03USM665S.log.diff.lag3,0.006992510794485517,0.001455727863931966,0.005141388174807198
BankNameCOMENITY BANK (1391778),0.006786513415825709,0.008184092046023012,0.008997429305912597
UNRATE.log.diff.lag4,0.0067130823595020666,0.006143071535767884,0.006426735218508998
UBPR3815.log.diff.lag4,0.006009587637374935,0.01987993996998499,0.012853470437017995
PCE.Pop.CPI.log.diff.lag1,0.005437707685836455,0.004927463731865933,0.006426735218508998
PSAVE.log.diff.lag4,0.005366411826875275,0.008674337168584291,0.007712082262210797
CSCICP03USM665S.log.diff.lag2,0.005079706371760088,0.0023711855927963984,0.006426735218508998
A229RC0.CPI.log.diff,0.005031943705251866,0.005147573786893447,0.002570694087403599
PCEDG.Pop.CPI.log.diff.lag2,0.0047357545172710585,0.004187093546773386,0.005141388174807198
CDSP.log.diff.lag2,0.004510226489330073,5.552776388194097e-4,0.006426735218508998
UNRATE.log.diff.lag2,0.0040433572591220684,0.0028914457228614307,0.0038560411311053984
PCEDG.Pop.CPI.log.diff,0.0038784974424235937,2.851425712856428e-4,0.0038560411311053984
RRSFS.Pop.log.diff.lag1,0.0038020253273661595,0.0018459229614807404,0.005141388174807198
B069RC1.Pop.CPI.log.diff.lag1,0.0036317243828254283,0.007423711855927964,0.005141388174807198
CDSP.log.diff.lag3,0.003618765201562573,0.003811905952976488,0.005141388174807198
CSCICP03USM665S.log.diff.lag1,0.0036116110157030446,0.002356178089044522,0.0038560411311053984
TDSP.log.diff.lag1,0.0035640407123003577,0.0034367183591795898,0.0038560411311053984
UNRATE.log.diff,0.003318614856620298,0.0044072036018009,0.006426735218508998
PCEDG.Pop.CPI.log.diff.lag1,0.0030818946730519752,0.0036068034017008505,0.002570694087403599
PCE.Pop.CPI.log.diff.lag2,0.0030264977406445964,0.010055027513756878,0.005141388174807198
A229RC0.CPI.log.diff.lag3,0.0029411352054325877,0.0029714857428714356,0.002570694087403599
RRSFS.Pop.log.diff.lag4,0.002884680441489611,0.004762381190595298,0.006426735218508998
A229RC0.CPI.log.diff.lag4,0.0026544174999991476,0.002811405702851426,0.002570694087403599
UNRATE.log.diff.lag3,0.0020248849020463944,0.004342171085542771,0.005141388174807198
PSAVE.log.diff.lag2,0.0020099151786865384,0.002351175587793897,0.002570694087403599
CDSP.log.diff.lag1,0.0018668912231836704,0.001455727863931966,0.0038560411311053984
Qtr2,0.0015935571559860552,2.1010505252626313e-4,0.0012853470437017994
TDSP.log.diff.lag2,0.0015735676164049276,0.004367183591795898,0.0038560411311053984
CDSP.log.diff.lag4,0.0014413552289393586,3.5017508754377186e-4,0.002570694087403599
