eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,3,0,0.5,1,0.5,100,0.2826624247629588,0.37028531511752877,0.2243708754106652,0.028373815462279676,0.0644065551169377,0.01216531331353981
0.01,3,0,0.5,1,0.75,100,0.2813442358791842,0.37395153037059503,0.22387011057709535,0.028261562551908183,0.07364602372426773,0.012215895130846442
0.01,3,0,0.5,5,0.5,100,0.2833668010365851,0.35900407037977583,0.22476250099663367,0.028653279271481178,0.07319658617105936,0.012177505488660595
0.01,3,0,0.5,5,0.75,100,0.28140639243377447,0.3769543848645207,0.2239211840722524,0.028323609547431097,0.07362597199652396,0.012173304508419103
0.01,3,0,0.8,1,0.5,100,0.2806320391367408,0.3852680424932287,0.2233623847908328,0.028314163628730522,0.06955194513862004,0.012119963267937654
0.01,3,0,0.8,1,0.75,100,0.27814395920107654,0.3974819886497148,0.22254432698616797,0.027292206090947155,0.06517490844024444,0.012040683004079403
0.01,3,0,0.8,5,0.5,100,0.2812333583897831,0.37994030174401805,0.22373112918829716,0.028157584714287302,0.06892117901044871,0.012174027899855232
0.01,3,0,0.8,5,0.75,100,0.27877578601222186,0.3933590486834907,0.222736909846521,0.02751056334040628,0.07135044314362232,0.011988182244852146
0.01,3,0.1,0.5,1,0.5,100,0.282889048120664,0.3704871009380824,0.22465745478679142,0.02831795760193993,0.07445281900591658,0.01188307253411219
0.01,3,0.1,0.5,1,0.75,100,0.2806488885061217,0.37952319370939003,0.22348360614566207,0.027893706620301842,0.0693457402287879,0.011943840916299941
0.01,3,0.1,0.5,5,0.5,100,0.28307213083317684,0.3624825299919009,0.22472261334187435,0.028569071229407335,0.06778076056742005,0.012184713606680154
0.01,3,0.1,0.5,5,0.75,100,0.2813030064949438,0.3753915804249669,0.2238049629641303,0.028161100483955932,0.07175761473851353,0.01227485954694716
0.01,3,0.1,0.8,1,0.5,100,0.28026058466559134,0.38785561084348275,0.223185310004659,0.0275159318896985,0.06545036353067082,0.011847341216144685
0.01,3,0.1,0.8,1,0.75,100,0.27833463029871747,0.3921886808163914,0.2224130078408951,0.027975556466495164,0.06681124107356552,0.012462517102565662
0.01,3,0.1,0.8,5,0.5,100,0.2810209874252091,0.3797756476104686,0.2234033534363137,0.028263084152266183,0.0730581784842681,0.012139866541758679
0.01,3,0.1,0.8,5,0.75,100,0.2790265402413291,0.39202353336601875,0.22283896555000893,0.027742400071365667,0.07202476707845919,0.01214245489290236
0.1,3,0,0.5,1,0.5,100,0.19265028271299242,0.36998875819235116,0.12358905857822187,0.02357921957967171,0.06073605425016685,0.007561976746437915
0.1,3,0,0.5,1,0.75,100,0.1903884830199401,0.3796903004637373,0.12181621696302904,0.025131566838878756,0.0498356113306519,0.006589283864387702
0.1,3,0,0.5,5,0.5,100,0.19420046332186539,0.3552736679692557,0.1260619779046126,0.02475642668350268,0.04780438765143059,0.007682979093282422
0.1,3,0,0.5,5,0.75,100,0.1923834932144083,0.36802937914126144,0.12324386743718967,0.026566115896015298,0.0495792188531758,0.00877218960939885
0.1,3,0,0.8,1,0.5,100,0.1935429435110009,0.36103236627006435,0.12382465534847469,0.02448044842780452,0.0517541765119903,0.006085303914036693
0.1,3,0,0.8,1,0.75,100,0.18978686806990003,0.38649650425221677,0.12151634079191692,0.023323035092577566,0.05567826332905624,0.007632063090557059
0.1,3,0,0.8,5,0.5,100,0.19405752688744962,0.35821882754698264,0.12488765194500506,0.02547407324353387,0.07409345030014532,0.009525103934519023
0.1,3,0,0.8,5,0.75,100,0.18946807190282067,0.3871477090006579,0.12264568417489863,0.025913417692033265,0.06010431417650757,0.00867263333151347
0.1,3,0.1,0.5,1,0.5,100,0.19248058296987994,0.3680111826867458,0.12241465109698488,0.025560630969402878,0.06405032466142513,0.00839785927211725
0.1,3,0.1,0.5,1,0.75,100,0.1913857727117557,0.37371352373383326,0.12153883774341703,0.026378598858858515,0.049764578915165406,0.008468435021932655
0.1,3,0.1,0.5,5,0.5,100,0.19261116119615176,0.36440833680872686,0.12434105139868497,0.02563738381057306,0.04876186582924381,0.007218907815776385
0.1,3,0.1,0.5,5,0.75,100,0.19236401000523712,0.3685621428501032,0.12307820097512816,0.026842174446561,0.06731209218023275,0.008074476695185167
0.1,3,0.1,0.8,1,0.5,100,0.19060103729511832,0.38113213391271833,0.12188156831245739,0.022559108145443114,0.05521257512813203,0.0066834950468349025
0.1,3,0.1,0.8,1,0.75,100,0.187359759669806,0.398733263259524,0.12019625385708906,0.02430253893526319,0.05732299745992826,0.006781718235974007
0.1,3,0.1,0.8,5,0.5,100,0.19217767837393285,0.37151705339691227,0.12465996303970522,0.024311392334621026,0.0737384363987915,0.00841822479248645
0.1,3,0.1,0.8,5,0.75,100,0.19013975606309763,0.3830376839456379,0.12172846444380406,0.024436625796541964,0.052039947046097317,0.007694344106863586
0.3,3,0,0.5,1,0.5,100,0.2085013967398182,0.3079972623123116,0.13666860808433648,0.02188876367363026,0.07135075979096563,0.009423118042173726
0.3,3,0,0.5,1,0.75,100,0.20039386102235068,0.336505727347995,0.13142181262631844,0.023893663604232313,0.06603627389307236,0.00854452385280474
0.3,3,0,0.5,5,0.5,100,0.2117456820004568,0.2834849983252273,0.14145548078599882,0.023766406293189216,0.06640142776887614,0.01092310115284251
0.3,3,0,0.5,5,0.75,100,0.20334579127250688,0.31892437351782527,0.13372769268555787,0.022798529218398797,0.06156528314628423,0.010070884604157497
0.3,3,0,0.8,1,0.5,100,0.20545048240591776,0.31710900327254615,0.137833194201835,0.020221208921939675,0.06733615088865998,0.009009802689704005
0.3,3,0,0.8,1,0.75,100,0.199596898804801,0.3426709602184089,0.12993718658132666,0.019915976796559463,0.07257009949771658,0.005789586276834676
0.3,3,0,0.8,5,0.5,100,0.209729596655777,0.3032918791752807,0.13991340357096366,0.026700197510932836,0.07363577399895686,0.01178771804992544
0.3,3,0,0.8,5,0.75,100,0.19996711955059143,0.342153113490196,0.13138878485866953,0.023422684143682575,0.0651428406540958,0.010511650786270114
0.3,3,0.1,0.5,1,0.5,100,0.2077232752330843,0.2999014444056968,0.13396586387398074,0.02209138959487169,0.058267536338726784,0.009238771473572327
0.3,3,0.1,0.5,1,0.75,100,0.20043041526805527,0.33079230490488126,0.12892845837955333,0.021807235687050928,0.050366716307051584,0.006577230605271459
0.3,3,0.1,0.5,5,0.5,100,0.20578745624681621,0.29946222189781685,0.13815659738864897,0.020127870383586176,0.06038856346235389,0.005968605376735429
0.3,3,0.1,0.5,5,0.75,100,0.2010463987981804,0.32041950864996505,0.1319393809725159,0.024596597680068263,0.06527076537783937,0.007994477254729019
0.3,3,0.1,0.8,1,0.5,100,0.20362732696196734,0.32442224361455324,0.1333353186389296,0.02257987415802596,0.060437414939335445,0.008963907862034928
0.3,3,0.1,0.8,1,0.75,100,0.19890286818479863,0.34257659117120737,0.1292104174203181,0.021722900090731433,0.04284052458325065,0.006424115967192121
0.3,3,0.1,0.8,5,0.5,100,0.20775452424816046,0.2970417234242226,0.138273046194733,0.023541785145523058,0.06963067657946229,0.009152056775489309
0.3,3,0.1,0.8,5,0.75,100,0.19563606698024943,0.35758387192388685,0.12664238675234754,0.025722881642510156,0.057917537160296136,0.007490247183883874
0.01,6,0,0.5,1,0.5,100,0.28579040188364,0.3501887205022002,0.22662723995458695,0.028246417641052273,0.07746310706144154,0.012203770380175194
0.01,6,0,0.5,1,0.75,100,0.2831515722621212,0.3632590851583698,0.22497227168241243,0.028810145560306644,0.08375527283313929,0.01239503549991625
0.01,6,0,0.5,5,0.5,100,0.28577493768999246,0.3476644734037264,0.22720789452879045,0.028365581964216673,0.07418510910137853,0.012112718626911545
0.01,6,0,0.5,5,0.75,100,0.28340557969411323,0.3653376625278866,0.22578290946875773,0.028221955138266537,0.07687943348761175,0.012003650094750247
0.01,6,0,0.8,1,0.5,100,0.28350343487664714,0.3687130069473676,0.22508786638628714,0.027985591879492466,0.07969035320451649,0.011902962157263136
0.01,6,0,0.8,1,0.75,100,0.2796987958331415,0.38491702851523196,0.22307202098523032,0.028583187385244672,0.07704400047831218,0.01262009748823857
0.01,6,0,0.8,5,0.5,100,0.2832555796415223,0.3749925199184482,0.2258420678506904,0.028117518399741546,0.0787691663790608,0.012141317916044272
0.01,6,0,0.8,5,0.75,100,0.28086137868418604,0.3847586765700472,0.22448295579901814,0.02769529393920069,0.0755698069364629,0.012174093656758088
0.01,6,0.1,0.5,1,0.5,100,0.28391422241281034,0.3665582015626511,0.22506632643510105,0.028438973669677747,0.07865471007464589,0.0123135018273962
0.01,6,0.1,0.5,1,0.75,100,0.2815740362427836,0.3734831101385982,0.22379024304229178,0.028250264954182303,0.07937557457966468,0.012179659977028603
0.01,6,0.1,0.5,5,0.5,100,0.2842474243909785,0.3532285814307892,0.2253609048346155,0.028350822321223514,0.0736319820308175,0.012102491340896812
0.01,6,0.1,0.5,5,0.75,100,0.2821031689926569,0.37456283910870775,0.22448982165257872,0.028588377222945806,0.08451700239086257,0.012463316207418773
0.01,6,0.1,0.8,1,0.5,100,0.2810310303101179,0.38243584723926544,0.2232801422915387,0.027837713193487296,0.07849490775894033,0.011811253965036855
0.01,6,0.1,0.8,1,0.75,100,0.2783378457962504,0.3951449422398259,0.22219458394613495,0.02752093432402262,0.06953065673097263,0.011923313187409888
0.01,6,0.1,0.8,5,0.5,100,0.28175226778189455,0.3736269886100617,0.22399400478631729,0.028080125572289755,0.07493365378004545,0.012296133586427921
0.01,6,0.1,0.8,5,0.75,100,0.27954788300074296,0.3887004406091646,0.22289270722604948,0.027621889101856825,0.07474232246822089,0.012103912778868854
0.1,6,0,0.5,1,0.5,100,0.1967329208464113,0.34630084154217466,0.1251268793311482,0.027045525020307052,0.06028051725754526,0.009032932223244665
0.1,6,0,0.5,1,0.75,100,0.192595562779801,0.3691844059473522,0.12179894750808766,0.028689485375358408,0.06437886426836949,0.008293518242826677
0.1,6,0,0.5,5,0.5,100,0.19658850056996185,0.3404824161183585,0.1275372359494579,0.025712984261194796,0.054935296283692994,0.009429206254182972
0.1,6,0,0.5,5,0.75,100,0.1925458495346533,0.36757099773465346,0.12287699481982257,0.026881735102664162,0.05795879001724334,0.010724679017985765
0.1,6,0,0.8,1,0.5,100,0.19588791223769297,0.35223649155761283,0.12399188533670318,0.02406785158110147,0.05169723881069374,0.007755907080419776
0.1,6,0,0.8,1,0.75,100,0.19290808650469823,0.3714391219111279,0.12135490118618651,0.026631436380967252,0.06305356653285614,0.008442679400437624
0.1,6,0,0.8,5,0.5,100,0.19326261267331335,0.3642254128000152,0.1258545808039033,0.024660209973264065,0.0539765770768692,0.00886991578206356
0.1,6,0,0.8,5,0.75,100,0.1918141433649168,0.3735338300097251,0.12285688290060627,0.02530873711077171,0.06040194999511737,0.008434621613889729
0.1,6,0.1,0.5,1,0.5,100,0.19513051641038687,0.35438333744915224,0.12297602234231562,0.025590889865380138,0.05564808846501605,0.008862894943304651
0.1,6,0.1,0.5,1,0.75,100,0.18904745693922073,0.3887523540106522,0.12027884900768519,0.02705692068082759,0.05538040101914645,0.008574156187207
0.1,6,0.1,0.5,5,0.5,100,0.19706740269477702,0.3383703859528504,0.12585123221986697,0.024856443345307275,0.05970155175641889,0.0069588649928321224
0.1,6,0.1,0.5,5,0.75,100,0.18980518537855742,0.382406206851391,0.12135785828776564,0.028869950499967503,0.07185428960816442,0.008972944448923529
0.1,6,0.1,0.8,1,0.5,100,0.19153991187845112,0.37566267579255885,0.12197284269499764,0.023186383322611834,0.07282265284572648,0.0065880433527652745
0.1,6,0.1,0.8,1,0.75,100,0.18700284548207002,0.4060486460336783,0.1194442959324954,0.025052226438207974,0.049017948191424014,0.007880896350715205
0.1,6,0.1,0.8,5,0.5,100,0.1940768713572604,0.3575724846491939,0.12471148659122072,0.025001045938956336,0.06553754170375085,0.007671374904141971
0.1,6,0.1,0.8,5,0.75,100,0.18859882764437255,0.39315474520055693,0.12186422577332416,0.02796244621212005,0.07570268892609455,0.0097573574928641
0.3,6,0,0.5,1,0.5,100,0.21379290608073437,0.27308122140788565,0.1402634246910345,0.027237144747531434,0.06935770218858087,0.009088173907696026
0.3,6,0,0.5,1,0.75,100,0.20545080835911242,0.3074339372768739,0.13209904106788717,0.024175495223430335,0.0563240815967062,0.008658942671826519
0.3,6,0,0.5,5,0.5,100,0.2173539707379848,0.2592955009107122,0.1475958080928884,0.02305386469826556,0.07314447129340888,0.009015229945243028
0.3,6,0,0.5,5,0.75,100,0.2041052557428258,0.3164623778744559,0.1354466445067436,0.025643783277045678,0.060306236139695796,0.011512185306608965
0.3,6,0,0.8,1,0.5,100,0.21428374842878523,0.28652323775786925,0.1432052677452415,0.021833233167889057,0.07454861313096679,0.010192710740980316
0.3,6,0,0.8,1,0.75,100,0.20230988868465652,0.33170640252346817,0.13124815211578958,0.025080823855717277,0.07063754622751721,0.009382038542846468
0.3,6,0,0.8,5,0.5,100,0.2108389580704797,0.29477565182486026,0.14110378446155572,0.023262716236188342,0.08558305277902718,0.009616131717889278
0.3,6,0,0.8,5,0.75,100,0.20190192723329572,0.3297539076098688,0.13375623523075925,0.029577784659092696,0.06600671477932982,0.01110424001502877
0.3,6,0.1,0.5,1,0.5,100,0.20830371039416784,0.29110749778342865,0.13605953241433777,0.027620427641442912,0.05934616281108682,0.011833403874820068
0.3,6,0.1,0.5,1,0.75,100,0.20137090270719943,0.32281477812886,0.128749584429706,0.029581076422540438,0.0817366284452654,0.009867591921747689
0.3,6,0.1,0.5,5,0.5,100,0.20728405603235922,0.3014900820287776,0.13786062616313,0.026380127174042825,0.067171037821571,0.010647823612337404
0.3,6,0.1,0.5,5,0.75,100,0.19940816810575474,0.3313463916803934,0.1314752030558299,0.024330919871819557,0.05945580817495613,0.008740214990064485
0.3,6,0.1,0.8,1,0.5,100,0.20558194821481884,0.319061218450916,0.13417664995396578,0.02361599704502337,0.0746386957309214,0.008738449243408565
0.3,6,0.1,0.8,1,0.75,100,0.19523343159676398,0.3628986963930132,0.12638987498861784,0.021280524609742085,0.057008267419743235,0.005349443662192819
0.3,6,0.1,0.8,5,0.5,100,0.2068857507333708,0.3029145850721732,0.13668278547051227,0.02279872612914839,0.05333089560689974,0.008587369019052701
0.3,6,0.1,0.8,5,0.75,100,0.2009153548259191,0.33550499246117393,0.1295015199546118,0.024697644726143664,0.06871938597206613,0.009904894914179053
0.01,9,0,0.5,1,0.5,100,0.28795448943467344,0.33890738874323734,0.22840175017080072,0.028413899158331483,0.08245286009739107,0.011762005092310693
0.01,9,0,0.5,1,0.75,100,0.28596467594603575,0.34881340048646453,0.22720743066234808,0.028277090020805105,0.0869136291642286,0.012014758286717348
0.01,9,0,0.5,5,0.5,100,0.28651854931001214,0.34719833245231935,0.22837987008944774,0.0280906622153957,0.07113188641102017,0.011964206574476796
0.01,9,0,0.5,5,0.75,100,0.284654969001751,0.3629649884940554,0.22728067202741714,0.027837700238967405,0.07688283776399757,0.011895425833200409
0.01,9,0,0.8,1,0.5,100,0.2855653730090907,0.3642746909066582,0.22761758994169456,0.02806191183806258,0.07537782738871078,0.01195057053410313
0.01,9,0,0.8,1,0.75,100,0.28264186334396196,0.37090668182235526,0.22579504930524524,0.02832480774587049,0.07934842293953592,0.012270443231977282
0.01,9,0,0.8,5,0.5,100,0.2847033824370987,0.3683922451315103,0.22733508785748557,0.02742596443016964,0.07591684799416626,0.011609171134241796
0.01,9,0,0.8,5,0.75,100,0.28239625001478,0.38022789897784975,0.22626814042094734,0.027405920721153075,0.07530725841535546,0.011851383485162088
0.01,9,0.1,0.5,1,0.5,100,0.2843049127152279,0.36090506155733515,0.22540203464717956,0.02792917263995376,0.07181654437609827,0.011660871341424489
0.01,9,0.1,0.5,1,0.75,100,0.2819128331616886,0.3717931085825617,0.224021270477873,0.02868441389991838,0.07739783001443035,0.012450114153063163
0.01,9,0.1,0.5,5,0.5,100,0.28406067412419544,0.35961966046341115,0.2257477121579261,0.02791439102020002,0.07331706588851576,0.012046737622682059
0.01,9,0.1,0.5,5,0.75,100,0.28225129386665093,0.37556901215891647,0.22483797810642886,0.02783117914586545,0.0744106690907106,0.012111658850611882
0.01,9,0.1,0.8,1,0.5,100,0.2819344180280589,0.37228932940599574,0.22406785988182173,0.028225857780542058,0.075105439753722,0.01236041077644343
0.01,9,0.1,0.8,1,0.75,100,0.27948982671399314,0.3844342419391927,0.22285816290690724,0.027914365482668155,0.07590015231256501,0.012445515813401925
0.01,9,0.1,0.8,5,0.5,100,0.2821145169342744,0.3739188745029785,0.2243961541055539,0.02760409809587916,0.07508957782808011,0.01167931040230087
0.01,9,0.1,0.8,5,0.75,100,0.2799053855272079,0.3903456913977843,0.2235800159043824,0.027362593853740846,0.0753879890233167,0.011926197339025646
0.1,9,0,0.5,1,0.5,100,0.194273020796269,0.35681503036353895,0.1251313426519747,0.02755732172817049,0.0670215559762558,0.010064731736397351
0.1,9,0,0.5,1,0.75,100,0.19191041142521933,0.37494079301240185,0.12022265480514674,0.027935932946233078,0.06185746442704246,0.00809660953155217
0.1,9,0,0.5,5,0.5,100,0.19797322906972223,0.3350924458389012,0.12829208159296385,0.024312014886505248,0.0664758097321804,0.00791488234523405
0.1,9,0,0.5,5,0.75,100,0.19207030449983714,0.3718131377403573,0.12390378686944224,0.02747291628685132,0.06582053389109864,0.009621810486470556
0.1,9,0,0.8,1,0.5,100,0.19298186313086338,0.3736140173011754,0.12339147364704409,0.026903033740939955,0.06260315156549852,0.008813969707978318
0.1,9,0,0.8,1,0.75,100,0.19099778197919334,0.3863810025329873,0.11999611938276634,0.02666766182413332,0.06128075646470037,0.009001528232793569
0.1,9,0,0.8,5,0.5,100,0.19705489635972487,0.3438500752811973,0.1276264304222969,0.025302582217362174,0.07195545262759949,0.009453318884661525
0.1,9,0,0.8,5,0.75,100,0.1943293719587919,0.3630869269770494,0.12399837211535078,0.024692265512522637,0.05468864889008829,0.008303917649219915
0.1,9,0.1,0.5,1,0.5,100,0.19543393204650444,0.34862706369936786,0.12414701318033654,0.02584987483823773,0.04862601839887065,0.007773214562523132
0.1,9,0.1,0.5,1,0.75,100,0.19252505430514097,0.3679937117639507,0.12150707106079184,0.02693281997096214,0.056526695377953,0.008390202159673272
0.1,9,0.1,0.5,5,0.5,100,0.19454806784816076,0.35359705109102624,0.1254297427742462,0.024977577042767575,0.059875129720996303,0.008270483828930301
0.1,9,0.1,0.5,5,0.75,100,0.19155656501056384,0.3741311864709979,0.12209135504131947,0.02821733043859543,0.06395558021212332,0.008851138870513395
