eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,3,0,0.5,1,0.5,100,0.2779669887465651,0.35827913658421134,0.21809712451140614,0.018494928560495838,0.03835421237269401,0.00700360209754121
0.01,3,0,0.5,1,0.75,100,0.27666936216201693,0.36245133220336845,0.21727559908038832,0.017790974962538172,0.0381577248906033,0.006614563474046827
0.01,3,0,0.5,5,0.5,100,0.2777204835791106,0.3643931498370976,0.21827710948831044,0.018829325163525007,0.0379055898348154,0.007060433727344299
0.01,3,0,0.5,5,0.75,100,0.27637972541940653,0.36842831153164834,0.21717217050010754,0.018366217186277903,0.04016785131404883,0.00668961777225316
0.01,3,0,0.8,1,0.5,100,0.27541160211631915,0.38645049254571817,0.2168625493005946,0.017919397108104366,0.032394467895031566,0.00656722998412307
0.01,3,0,0.8,1,0.75,100,0.2734111406298962,0.39463456003138303,0.21565524414369225,0.017715083529927154,0.03893585505685738,0.006541276243741516
0.01,3,0,0.8,5,0.5,100,0.27535808378189103,0.3885989644942754,0.21686682566173096,0.017688399598337828,0.031925148232819715,0.0064315486158436
0.01,3,0,0.8,5,0.75,100,0.27327784303876523,0.39586437259848245,0.21555227885628858,0.017513620406639934,0.036626569561435576,0.00646032680804722
0.01,3,0.1,0.5,1,0.5,100,0.2775910784371452,0.36577504011852524,0.21802613242030083,0.018180353767409972,0.04136034505098296,0.006834361191161075
0.01,3,0.1,0.5,1,0.75,100,0.2762741178873653,0.36527565929998834,0.21697789754820895,0.01822387643308112,0.038782509948054614,0.0065998412943189385
0.01,3,0.1,0.5,5,0.5,100,0.27762979154076867,0.36157373863600517,0.21815253609556834,0.018563425761484998,0.03860712676744116,0.007160815307539047
0.01,3,0.1,0.5,5,0.75,100,0.2761147743236184,0.3681115668338943,0.2172708621826068,0.01825958249549857,0.03585786011449422,0.006659300622589287
0.01,3,0.1,0.8,1,0.5,100,0.2751577370215043,0.3863915695638654,0.21638108557567712,0.017720306088889186,0.038385277069418515,0.0064424832602453085
0.01,3,0.1,0.8,1,0.75,100,0.2732534696587051,0.39489910996820804,0.21565189816986868,0.01777588560651306,0.038215184493667384,0.006751716627127767
0.01,3,0.1,0.8,5,0.5,100,0.2754583987766,0.38189799995642326,0.21688732284240897,0.017770108211100723,0.035656523171763974,0.006515263200703457
0.01,3,0.1,0.8,5,0.75,100,0.2734349481970317,0.3913268340688364,0.21570138793966664,0.01771149606613805,0.03426495847886922,0.0063760413228816214
0.1,3,0,0.5,1,0.5,100,0.18827971343234598,0.34921116991679696,0.11875224513814878,0.012514512977405811,0.07144793094418993,0.0061681532610629464
0.1,3,0,0.5,1,0.75,100,0.185134948161344,0.36773834893608476,0.11515031125085953,0.014978842759182357,0.05346002732312511,0.006887246754147928
0.1,3,0,0.5,5,0.5,100,0.19010426199266495,0.3379309978529547,0.11970658272295964,0.01728230168986838,0.06973192776430065,0.00684696580926183
0.1,3,0,0.5,5,0.75,100,0.18490551829947519,0.37230610704230593,0.11601847916469862,0.014679730593808412,0.06630988770820932,0.006228398761476486
0.1,3,0,0.8,1,0.5,100,0.18261358509373013,0.3870355337893505,0.1158254209767358,0.012912988846147073,0.06908600072969383,0.0059706921323069055
0.1,3,0,0.8,1,0.75,100,0.18388914687900168,0.38004543856642364,0.1165009616980342,0.014776590378988368,0.058749969307802505,0.006775443293601355
0.1,3,0,0.8,5,0.5,100,0.18855986045627246,0.3509732986808711,0.11969916695110441,0.015582111509282489,0.05348360699495967,0.006369332517538564
0.1,3,0,0.8,5,0.75,100,0.1837998965936307,0.38042488775957783,0.11571156648891363,0.016443609446083775,0.054119961159013054,0.007173620987140346
0.1,3,0.1,0.5,1,0.5,100,0.18622198678035418,0.36229891202011166,0.11761939392500607,0.014440227211308446,0.05057774654104191,0.007106675578728496
0.1,3,0.1,0.5,1,0.75,100,0.18644484782296597,0.35902700583623853,0.11671754507667786,0.012980853596150817,0.07102147714911629,0.006635168512783806
0.1,3,0.1,0.5,5,0.5,100,0.18956643767067574,0.34032208892104576,0.12019951160154475,0.015976786650196164,0.06426655553001177,0.007747910685029285
0.1,3,0.1,0.5,5,0.75,100,0.1863832841779021,0.36219526818086595,0.11684882117204703,0.015424150853214314,0.056372386155081826,0.007254245008279752
0.1,3,0.1,0.8,1,0.5,100,0.18412928540377302,0.37468856658301836,0.11682493751872745,0.015595827120366609,0.06875845881672685,0.0064371989377260885
0.1,3,0.1,0.8,1,0.75,100,0.18276869361744127,0.3845942836376441,0.1154176873162845,0.014012934124769175,0.06917073738104416,0.007082775436231711
0.1,3,0.1,0.8,5,0.5,100,0.18731232366416675,0.3575391105407688,0.11848731384544457,0.018166672803793013,0.057946528125156986,0.007828545893006467
0.1,3,0.1,0.8,5,0.75,100,0.18299285105371474,0.38493585505656563,0.11445960538752002,0.014854149303024314,0.05600005717887258,0.0068390582751289555
0.3,3,0,0.5,1,0.5,100,0.20561214893860413,0.27880546339147955,0.13609646671825187,0.013968129855701257,0.0752426087788777,0.007374258964867238
0.3,3,0,0.5,1,0.75,100,0.20118573845346227,0.2889963663584882,0.12730366450323924,0.018775846385025215,0.0749013501567663,0.009671738122725542
0.3,3,0,0.5,5,0.5,100,0.2069026938664867,0.2675249528575007,0.135770396750396,0.013986718390348317,0.043091814422399455,0.007035479210573607
0.3,3,0,0.5,5,0.75,100,0.2018288996004242,0.2889685697107028,0.1285457252574566,0.01919738671728276,0.07222437309637599,0.00845620124873594
0.3,3,0,0.8,1,0.5,100,0.20468995610945656,0.28793310687769846,0.13543820508772467,0.012995343213812032,0.0750948986932427,0.0073749492562836475
0.3,3,0,0.8,1,0.75,100,0.19781840402170817,0.310192691406267,0.1266218616978898,0.0157561104416091,0.050779550651451635,0.00830004465403182
0.3,3,0,0.8,5,0.5,100,0.2089986130211145,0.25970766380315585,0.13469709474831382,0.01452034373967213,0.06355856740318601,0.005433429903678777
0.3,3,0,0.8,5,0.75,100,0.20182828085467613,0.2894670478235424,0.12850222189239138,0.015464332534603444,0.056998855373161496,0.007847558538291747
0.3,3,0.1,0.5,1,0.5,100,0.19908237890346087,0.3055800986368692,0.12963281205125343,0.012566366569391696,0.0773990640424844,0.005794513961646347
0.3,3,0.1,0.5,1,0.75,100,0.19520362781810666,0.3136333005607533,0.12404117941033906,0.01523635600731653,0.04366413693557376,0.006653028092604801
0.3,3,0.1,0.5,5,0.5,100,0.20656620597678402,0.27048890459867553,0.13213964066933612,0.021605001653655847,0.07472762007598055,0.01028423060611835
0.3,3,0.1,0.5,5,0.75,100,0.19203765219714344,0.3322315729345973,0.12314420815928846,0.012304114775909442,0.07335444538646003,0.006411837995670313
0.3,3,0.1,0.8,1,0.5,100,0.19613167414212163,0.3200561908602425,0.1286099631290238,0.014666771430382215,0.060071652554190315,0.007823045213503441
0.3,3,0.1,0.8,1,0.75,100,0.1918807680295396,0.33368981451241675,0.12220686992301126,0.013548366358632203,0.08076267559272478,0.00671438729365812
0.3,3,0.1,0.8,5,0.5,100,0.20157753340592044,0.28551747290899376,0.1304623466355026,0.015563188779851139,0.04716358541179504,0.005973446952851353
0.3,3,0.1,0.8,5,0.75,100,0.19017272902198074,0.34503525255189854,0.1215391800981587,0.015536888528968304,0.06640318180928573,0.008173983958180999
0.01,6,0,0.5,1,0.5,100,0.28084044174153067,0.3446734572664417,0.22021088566891658,0.018367063700205927,0.04510422901497644,0.00740437925145002
0.01,6,0,0.5,1,0.75,100,0.27959920545090694,0.3433710447833968,0.21948369289069533,0.018449973478469404,0.05048912807124794,0.007676626374464911
0.01,6,0,0.5,5,0.5,100,0.28002542466801567,0.35008844710485565,0.22046424475876766,0.018608371595673502,0.0332274947087777,0.007685832928401505
0.01,6,0,0.5,5,0.75,100,0.27793591357776715,0.36205414402385816,0.21908309324464842,0.018025728730430977,0.03999946579959416,0.0074025684415157085
0.01,6,0,0.8,1,0.5,100,0.2783609724372225,0.36943401740326565,0.21899696140010694,0.01783550421777753,0.04928393519118969,0.0074380557616922525
0.01,6,0,0.8,1,0.75,100,0.2772307138817884,0.36578299050800106,0.21833756017814468,0.01831234756965779,0.05087059941813944,0.007735180961427094
