eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,3,0,0.5,1,0.5,100,0.28511325981131375,0.25538721716765234,0.22506387092910907,0.029698346804462008,0.0748829607867068,0.012974220857601514
0.01,3,0,0.5,1,0.75,100,0.28391978741884555,0.24685037614391098,0.22443682712359125,0.029774437767467805,0.06314117119129056,0.013050243031883905
0.01,3,0,0.5,5,0.5,100,0.2850030360298714,0.2520579320609364,0.2252024294875515,0.029785186970848684,0.0739003395365679,0.013157705498973986
0.01,3,0,0.5,5,0.75,100,0.28388307002092045,0.24588106395352044,0.22439340645692227,0.02994573512112295,0.07026161139183464,0.013187531986420182
0.01,3,0,0.8,1,0.5,100,0.2849370561581576,0.2474435411480294,0.22466525752922673,0.029675130330864975,0.0685379357858565,0.012667537966608558
0.01,3,0,0.8,1,0.75,100,0.2836789794528346,0.2430106180366665,0.22411709271778643,0.030080773543570673,0.0683970281705549,0.013019000003012286
0.01,3,0,0.8,5,0.5,100,0.2848965143741389,0.2482766865671549,0.2249677168573845,0.029777020855326127,0.07520759793317756,0.01316279871032471
0.01,3,0,0.8,5,0.75,100,0.2837912870518886,0.23911361835394696,0.22408745040453718,0.029747789973120345,0.06767966790162482,0.012806905333149893
0.01,3,0.1,0.5,1,0.5,100,0.28560650528773884,0.24711332548276757,0.22533531419250208,0.030469153421496295,0.0749190194503388,0.013336708428417972
0.01,3,0.1,0.5,1,0.75,100,0.2838451065120847,0.24862905961380807,0.22435364818432918,0.029865972496540487,0.06905689699886845,0.013091865646431753
0.01,3,0.1,0.5,5,0.5,100,0.28492391708051495,0.2469079126015446,0.22531537555916534,0.02979768499134863,0.07364692518795311,0.013159626737480815
0.01,3,0.1,0.5,5,0.75,100,0.2838764092011018,0.24624341487055104,0.22451299678905776,0.02956644701123488,0.0652938550060247,0.013028641069208285
0.01,3,0.1,0.8,1,0.5,100,0.2848050880399602,0.25041612317643736,0.22463660142911698,0.03013171982002561,0.07697330798657744,0.01284600702695077
0.01,3,0.1,0.8,1,0.75,100,0.2841055986759279,0.23661671089771366,0.22423180103194054,0.029562590396548384,0.06297514309242931,0.012719771393328859
0.01,3,0.1,0.8,5,0.5,100,0.28449778403080245,0.25297581313486317,0.2246636326149844,0.03009059941677508,0.0807923098326878,0.013181553024451486
0.01,3,0.1,0.8,5,0.75,100,0.28369564728491165,0.23891415444922595,0.22409515368953103,0.029552601995970207,0.06599064490347173,0.012867905668316353
